Nasometer Analysis Results

Time (msec)	Nasal Energy (dB)	Oral Energy (dB)	Nasalance Ratio (%)
2984	27	26	0
2992	32	30	0
3000	38	42	0
3008	41	48	0
3016	42	55	19
3024	42	61	10
3032	41	65	6
3040	40	68	4
3048	41	70	3
3056	41	71	3
3064	40	69	3
3072	40	67	4
3080	39	62	6
3088	38	56	11
3096	36	46	0
3104	34	36	0
3112	29	27	0
3120	25	26	0
3128	24	26	0
3136	25	30	0
3144	26	41	0
3152	34	58	6
3160	38	63	5
3168	41	67	5
3176	42	69	4
3184	42	69	4
3192	41	68	4
3200	40	65	5
3208	39	61	8
3216	37	53	14
3224	35	35	0
3232	33	29	0
3240	30	26	0
3248	30	26	0
3256	29	25	0
3264	27	36	0
3272	25	41	0
3280	29	53	6
3288	36	62	5
3296	39	65	5
3304	40	68	4
3312	41	68	4
3320	39	66	4
3328	38	64	5
3336	36	59	6
3344	33	54	8
3352	30	46	0
3360	26	39	0
3368	26	36	0
3376	26	36	0
3384	25	36	0
3392	26	37	0
3400	26	36	0
3408	26	33	0
3416	26	30	0
3424	26	24	0
3432	26	24	0
3440	26	25	0
3448	28	25	0
3456	27	24	0
3464	27	25	0
3472	27	36	0
3480	28	55	4
3488	36	65	3
3496	39	69	3
3504	41	72	3
3512	43	73	3
3520	43	72	4
3528	43	71	4
3536	43	71	4
3544	43	69	4
3552	41	67	5
3560	39	63	6
3568	36	58	7
3576	32	48	0
3584	28	34	0
3592	25	26	0
3600	26	26	0
3608	25	27	0
3616	25	28	0
3624	25	28	0
3632	25	32	0
3640	26	31	0
3648	26	34	0
3656	27	37	0
3664	27	36	0
3672	30	51	8
3680	34	58	6
3688	36	61	6
3696	37	62	5
3704	37	61	6
3712	33	58	6
3720	31	53	7
3728	28	47	0
3736	27	43	0
3744	26	37	0
3752	26	31	0
3760	26	29	0
3768	26	26	0
3776	26	32	0
3784	26	34	0
3792	27	36	0
3800	30	52	8
3808	32	55	7
3816	35	58	6
3824	36	61	5
3832	36	59	6
3840	36	61	5
3848	35	59	6
3856	35	59	6
3864	36	59	6
3872	35	58	6
3880	35	59	6
3888	35	58	6
3896	34	58	6
3904	34	56	8
3912	32	54	7
3920	32	51	10
3928	29	47	0
3936	28	43	0
3944	27	41	0
3952	27	40	0
3960	27	40	0
3968	27	39	0
3976	27	39	0
3984	26	37	0
3992	26	36	0
4000	25	34	0
4008	24	33	0
4016	24	32	0
4024	23	31	0
4032	23	30	0
4040	24	29	0
4048	25	29	0
4056	25	30	0
4064	26	31	0
4072	25	31	0
