Nasometer Analysis Results

Time (msec)	Nasal Energy (dB)	Oral Energy (dB)	Nasalance Ratio (%)
496	30	24	0
504	38	25	0
512	48	29	0
520	52	34	89
528	55	38	87
536	56	42	84
544	56	50	65
552	55	54	53
560	54	57	42
568	53	59	35
576	52	59	31
584	52	59	31
592	52	60	29
600	52	60	29
608	53	61	28
616	54	62	29
624	55	62	31
632	56	61	36
640	57	58	47
648	58	55	59
656	59	48	78
664	60	47	82
672	61	47	82
680	61	47	82
688	61	49	79
696	60	55	63
704	60	60	49
712	59	62	41
720	58	64	35
728	58	64	34
736	58	63	36
744	58	63	36
752	58	63	37
760	58	63	38
768	58	61	41
776	59	58	52
784	59	55	61
792	60	48	79
800	60	44	87
808	60	43	87
816	60	43	87
824	60	47	81
832	60	54	67
840	61	59	55
848	61	61	50
856	62	63	47
864	62	63	46
872	62	63	47
880	62	64	45
888	61	64	43
896	61	64	41
904	60	64	37
912	58	64	35
920	56	63	30
928	53	62	27
936	50	60	25
944	45	56	23
952	41	50	0
960	36	42	0
968	32	29	0
976	28	26	0
984	26	26	0
992	25	27	0
1000	24	29	0
1008	24	34	0
1016	24	34	0
1024	24	36	0
1032	24	37	0
1040	25	35	0
1048	27	38	0
1056	28	38	0
1064	29	39	0
1072	37	46	0
1080	45	51	33
1088	49	55	33
1096	52	58	34
1104	55	60	36
1112	55	60	37
1120	56	59	40
1128	56	59	43
1136	56	56	50
1144	57	54	59
1152	57	51	67
1160	58	49	73
1168	58	50	71
1176	58	52	68
1184	58	53	63
1192	58	55	57
1200	58	56	54
1208	57	57	51
1216	57	58	48
1224	56	57	47
1232	56	58	44
1240	56	58	44
1248	55	58	43
1256	56	59	41
1264	55	58	41
1272	55	58	40
1280	55	59	39
1288	55	58	41
1296	55	57	44
1304	56	55	53
1312	57	51	66
1320	58	46	79
1328	58	44	84
1336	59	42	87
1344	59	42	88
1352	59	42	87
1360	59	44	85
1368	58	50	72
1376	58	53	62
1384	57	55	56
1392	56	57	48
1400	55	56	47
1408	55	56	48
1416	56	54	55
1424	57	51	68
1432	58	46	81
1440	59	39	91
1448	59	37	93
1456	59	36	93
1464	58	36	93
1472	57	34	93
1480	55	33	92
1488	52	31	92
1496	48	36	0
1504	44	36	0
1512	38	35	0
1520	32	38	0
1528	28	36	0
1536	25	36	0
1544	25	47	0
1552	30	55	5
1560	32	57	5
1568	34	61	5
1576	36	61	5
1584	35	60	5
1592	37	60	7
1600	40	59	10
1608	41	57	14
1616	44	55	21
1624	45	53	27
1632	46	50	37
1640	48	51	41
1648	47	49	0
1656	48	49	0
1664	46	46	0
1672	46	47	0
1680	46	46	0


Nasometer Statistics

Mean (%)	52
Min (%)	5
Max (%)	93
Start (%)	0
End (%)	0

Time Range (sec)	1.19
Start (sec)	0.50
End (sec)	1.69

Oral Over (sec)	0.00
Nasal Over (sec)	0.00

Threshold (%)	100.00
Above (%)	0
Below (%%)	100
