Nasometer Analysis Results

Time (msec)	Nasal Energy (dB)	Oral Energy (dB)	Nasalance Ratio (%)
6656	26	27	0
6664	26	26	0
6672	26	26	0
6680	27	26	0
6688	29	26	0
6696	41	27	0
6704	52	32	91
6712	54	33	91
6720	58	45	83
6728	59	46	81
6736	57	51	66
6744	59	56	58
6752	56	56	52
6760	58	58	49
6768	59	59	50
6776	59	58	53
6784	60	59	51
6792	59	59	51
6800	59	57	54
6808	58	57	52
6816	55	54	54
6824	53	52	55
6832	52	51	54
6840	52	50	54
6848	52	51	54
6856	53	51	55
6864	54	52	55
6872	55	54	53
6880	57	55	53
6888	58	58	52
6896	59	59	52
6904	60	60	51
6912	61	60	51
6920	61	61	50
6928	61	61	49
6936	61	61	48
6944	61	62	47
6952	61	62	45
6960	60	63	43
6968	60	64	40
6976	60	64	38
6984	59	63	38
6992	58	62	40
7000	56	58	46
7008	55	54	54
7016	53	47	66
7024	50	45	65
7032	47	44	0
7040	43	47	0
7048	41	55	18
7056	42	61	9
7064	43	66	7
7072	44	69	6
7080	44	71	4
7088	43	71	4
7096	43	71	4
7104	43	71	4
7112	44	71	4
7120	44	70	5
7128	44	69	6
7136	44	68	6
7144	43	67	6
7152	42	66	6
7160	41	66	6
7168	41	65	5
7176	40	66	5
7184	41	66	5
7192	41	67	5
7200	41	67	4
7208	41	68	5
7216	41	67	5
7224	41	66	5
7232	40	64	6
7240	39	62	7
7248	37	60	7
7256	37	57	9
7264	37	56	11
7272	37	52	15
7280	35	48	0
7288	33	43	0
7296	31	34	0
7304	27	28	0
7312	25	25	0
7320	24	26	0
7328	24	37	0
7336	26	38	0
7344	27	45	0
7352	36	60	6
7360	46	64	11
7368	50	65	15
7376	55	66	21
7384	58	64	32
7392	58	62	40
7400	60	62	43
7408	60	61	46
7416	60	61	47
7424	60	61	48
7432	60	61	47
7440	60	61	48
7448	60	60	49
7456	60	60	49
7464	60	60	50
7472	60	60	50
7480	59	60	49
7488	59	59	49
7496	59	59	48
7504	58	60	46
7512	58	59	45
7520	57	59	44
7528	57	57	51
7536	58	55	60
7544	58	50	73
7552	58	44	83
7560	55	39	86
7568	50	34	0
7576	41	34	0
7584	31	36	0
7592	26	37	0
7600	26	37	0
7608	25	35	0
7616	25	34	0
7624	25	36	0
7632	25	40	0
7640	25	41	0
7648	26	41	0
7656	26	40	0
7664	29	54	5
7672	33	59	5
7680	36	63	4
7688	39	66	4
7696	40	66	5
7704	40	67	4
7712	41	67	4
7720	40	67	4
7728	41	67	4
7736	41	68	4
7744	41	68	5
7752	42	69	4
7760	42	69	4
7768	42	68	5
7776	42	68	5
7784	41	67	5
7792	40	64	6
7800	38	61	6
7808	36	55	10
7816	33	46	0
7824	30	37	0
7832	27	30	0
7840	25	33	0
7848	26	38	0
7856	26	40	0
7864	27	41	0
7872	26	41	0
7880	26	41	0
7888	26	41	0
7896	25	41	0
7904	26	40	0
7912	26	47	0
7920	30	52	7
7928	32	56	6
7936	34	57	7
7944	36	58	7
7952	35	59	6
7960	36	58	7
7968	36	60	6
7976	35	60	6
7984	36	58	7
7992	37	60	6
8000	36	60	6
8008	37	59	7
8016	37	61	6
8024	35	61	5
8032	36	60	6
8040	37	62	5
8048	35	62	5
8056	37	62	5
8064	37	63	5
8072	36	63	5
8080	37	63	5
8088	37	63	5
8096	37	63	5
8104	36	63	4
8112	36	62	5
8120	36	61	5
8128	36	59	7
8136	35	54	11
8144	33	47	0
8152	31	39	0
8160	28	35	0
8168	26	35	0
8176	25	37	0
8184	27	50	0
8192	32	57	6
8200	32	57	6
8208	35	61	5
8216	36	63	5
8224	36	62	5
8232	38	64	5
8240	38	63	5
8248	37	59	7
8256	35	57	8
8264	32	50	0
8272	30	44	0
8280	27	42	0
8288	25	41	0
8296	25	41	0
8304	24	40	0
8312	26	37	0
8320	28	34	0
8328	28	32	0
8336	31	31	0
8344	32	31	0
8352	32	31	0
8360	33	30	0
8368	33	28	0
8376	46	30	0
8384	53	33	91
8392	57	36	92
8400	60	38	93
8408	61	39	92
8416	61	42	90
8424	59	46	81
8432	58	51	70
8440	55	51	62
8448	52	53	49
8456	50	50	48
8464	45	45	0
8472	44	44	0
8480	41	41	0
8488	42	41	0
8496	42	41	0
8504	46	46	0
8512	46	43	0
8520	44	42	0
8528	45	43	0
8536	46	41	0
8544	44	41	0
8552	46	43	0
8560	48	44	0
8568	44	41	0
8576	47	44	0
8584	47	45	0
8592	45	44	0
8600	47	46	0
8608	45	44	0
8616	44	42	0
8624	47	46	0
8632	45	42	0


Nasometer Statistics

Mean (%)	29
Min (%)	4
Max (%)	93
Start (%)	0
End (%)	0

Time Range (sec)	1.97
Start (sec)	6.66
End (sec)	8.63

Oral Over (sec)	0.00
Nasal Over (sec)	0.00

Threshold (%)	100.00
Above (%)	0
Below (%%)	100
