Here are the results for Channel 1 (nasal)					Here are the results for Channel 2 (oral)						"""""nasalance"""" as per Praat"
time	pitch(Hz)	Amplitude(dB)	RMSqIntensity(Pa)		time	pitch(Hz)	Amplitude(dB)	RMSqIntensity(Pa)			N / (N + O )
0.01	--undefined--	--undefined--	--undefined--		0.01	--undefined--	--undefined--	--undefined--			#VALUE!
0.02	--undefined--	--undefined--	--undefined--		0.02	--undefined--	--undefined--	--undefined--			#VALUE!
0.03	--undefined--	--undefined--	--undefined--		0.03	--undefined--	--undefined--	--undefined--			#VALUE!
0.04	--undefined--	--undefined--	--undefined--		0.04	--undefined--	--undefined--	--undefined--			#VALUE!
0.05	--undefined--	-0.065	1.99E-05		0.05	--undefined--	4.266	3.27E-05			0.377859723
0.06	--undefined--	-1.194	1.74E-05		0.06	--undefined--	2.56	2.69E-05			0.393597203
0.07	--undefined--	-4.62	1.18E-05		0.07	--undefined--	-2.194	1.55E-05			0.43063199
0.08	--undefined--	-8.612	7.42E-06		0.08	--undefined--	-7.177	8.75E-06			0.458779926
0.09	--undefined--	-11.387	5.39E-06		0.09	--undefined--	-9.625	6.60E-06			0.44946778
0.1	--undefined--	-10.09	6.26E-06		0.1	--undefined--	-6.839	9.10E-06			0.40749828
0.11	--undefined--	-4.325	1.22E-05		0.11	--undefined--	0.48	2.11E-05			0.365116373
0.12	--undefined--	2.831	2.77E-05		0.12	--undefined--	5.314	3.69E-05			0.429005409
0.13	--undefined--	15.421	0.000118048		0.13	--undefined--	8.422	5.27E-05			0.691209496
0.14	--undefined--	28.889	0.00055649		0.14	--undefined--	16.797	0.000138316			0.800928856
0.15	297.119	37.261	0.001459133		0.15	--undefined--	25.289	0.000367699			0.798723217
0.16	278.386	41.225	0.002302963		0.16	249.463	30.49	0.000669171			0.774851771
0.17	253.148	41.92	0.002494668		0.17	242.216	33.028	0.000896207			0.735700482
0.18	241.225	41.28	0.002317601		0.18	241.092	34.032	0.001006113			0.697292413
0.19	240.225	41.012	0.002247242		0.19	240.052	34.515	0.0010636			0.67875246
0.2	238.789	40.933	0.00222684		0.2	238.826	34.846	0.001104959			0.668359584
0.21	238.183	40.939	0.002228281		0.21	238.269	35.046	0.001130671			0.663385756
0.22	236.913	41.063	0.002260289		0.22	237.075	35.118	0.001140016			0.664731355
0.23	236.615	41.29	0.002320342		0.23	236.599	35.098	0.001137507			0.671036229
0.24	236.553	41.532	0.002385656		0.24	236.54	34.987	0.001122955			0.679943224
0.25	236.157	41.73	0.002440852		0.25	236.317	34.742	0.00109179			0.690942344
0.26	235.52	41.987	0.002514015		0.26	235.84	34.278	0.001035033			0.708363206
0.27	235.402	42.447	0.002650832		0.27	235.734	33.547	0.000951403			0.735885402
0.28	236.222	43.081	0.002851615		0.28	236.315	32.627	0.000855839			0.769157287
0.29	236.924	43.621	0.003034566		0.29	236.953	31.64	0.000763914			0.798889499
0.3	237.068	43.928	0.003143725		0.3	237.306	30.647	0.000681354			0.821871955
0.31	237.196	44.078	0.003198329		0.31	237.353	29.702	0.000611099			0.839582402
0.32	237.533	44.204	0.003245104		0.32	237.695	28.839	0.00055332			0.85432897
0.33	237.76	44.448	0.003337482		0.33	238.234	27.89	0.000496052			0.870601837
0.34	238.584	44.972	0.003545152		0.34	239.553	26.506	0.000422989			0.893403717
0.35	239.655	45.801	0.003899952		0.35	242.375	24.418	0.000332607			0.921417134
0.36	240.349	46.622	0.004286767		0.36	244.233	21.829	0.000246876			0.94554586
0.37	240.239	47.099	0.004529011		0.37	241.782	19.903	0.000197782			0.958157331
0.38	240.384	47.265	0.004615922		0.38	240.335	19.294	0.000184392			0.961587572
0.39	241.685	47.334	0.004652774		0.39	241.29	19.286	0.000184228			0.961912871
0.4	243.108	47.298	0.004633949		0.4	242.527	19.307	0.000184663			0.961677094
0.41	243.905	47.046	0.004501381		0.41	243.192	19.164	0.000181652			0.961210541
0.42	244.673	46.578	0.004264906		0.42	243.849	18.872	0.000175641			0.960446133
0.43	244.71	45.904	0.003946845		0.43	243.863	18.34	0.000165199			0.95982547
0.44	245.586	44.964	0.003541965		0.44	244.162	17.283	0.000146284			0.960337706
0.45	251.862	43.766	0.003085531		0.45	--undefined--	15.619	0.00012077			0.962333647
0.46	269.078	42.013	0.002521637		0.46	--undefined--	15.597	0.000120467			0.954404774
0.47	276.679	38.427	0.001668749		0.47	--undefined--	23.343	0.000293902			0.850252559
