Here are the results: time - pitch(Hz) - Amplitude(dB) - RMSqIntensity(Pa)
0.01 --undefined-- --undefined-- --undefined--
0.02 --undefined-- --undefined-- --undefined--
0.03 --undefined-- --undefined-- --undefined--
0.04 --undefined-- --undefined-- --undefined--
0.05 --undefined-- 13.625 9.60031400367554e-005
0.06 --undefined-- 13.886 9.89277312586111e-005
0.07 --undefined-- 12.651 8.581510039776632e-005
0.08 --undefined-- 11.018 7.110763468563903e-005
0.09 --undefined-- 10.329 6.568952533250927e-005
0.10 --undefined-- 10.284 6.534705566520828e-005
0.11 --undefined-- 10.913 7.025153282676847e-005
0.12 --undefined-- 14.634 0.00010782913657756038
0.13 --undefined-- 21.629 0.0002412610099867991
0.14 --undefined-- 30.854 0.0006978160456154631
0.15 --undefined-- 38.778 0.0017374660152326836
0.16 249.463 43.094 0.002855849902371346
0.17 242.216 44.436 0.00333301400715092
0.18 241.092 44.461 0.0033426057309549786
0.19 240.052 44.481 0.003350264682634572
0.20 238.826 44.514 0.003363143515202621
0.21 238.269 44.586 0.0033911491887683256
0.22 237.075 44.744 0.0034532372091953065
0.23 236.599 44.956 0.0035384699076940517
0.24 236.540 45.155 0.003620688636298003
0.25 236.317 45.325 0.003692078466071615
0.26 235.840 45.562 0.0037943498491336126
0.27 235.734 45.986 0.003983937157601189
0.28 236.315 46.555 0.004253793068967177
0.29 236.953 47.033 0.004494655899541506
0.30 237.306 47.304 0.0046367102228342845
0.31 237.353 47.436 0.004708193271357773
0.32 237.695 47.547 0.004768475922239321
0.33 238.234 47.775 0.004895314703232754
0.34 239.553 48.287 0.005192588106090474
0.35 242.375 49.116 0.0057128675420214155
0.36 244.233 49.959 0.006295093771096188
0.37 241.782 50.473 0.0066782761880542696
0.38 240.335 50.659 0.006822993398171686
0.39 241.290 50.706 0.006860227775365482
0.40 242.527 50.634 0.006803851973533802
0.41 243.192 50.363 0.0065941163696125425
0.42 243.849 49.893 0.006247030169250512
0.43 243.863 49.228 0.005786543721315826
0.44 244.162 48.223 0.0051547119682221094
0.45 --undefined-- 46.687 0.0043189771738049
0.46 --undefined-- 44.339 0.003296095901595567
0.47 --undefined-- 40.338 0.0020792809110917053
0.48 --undefined-- 35.568 0.0012006883926040767
0.49 --undefined-- 38.480 0.0016789530012025092
0.50 267.693 42.253 0.0025921980577987575
0.51 268.442 43.950 0.0031516757290644144
0.52 265.226 44.144 0.003222863286299668
0.53 262.106 43.395 0.002956368851734038
0.54 260.078 42.385 0.0026318502662100295
0.55 258.778 41.507 0.0023788747492934264
0.56 256.656 40.736 0.0021767938540804394
0.57 256.094 40.210 0.002048908743398125
0.58 256.392 40.019 0.0020042805547191285
0.59 260.382 40.112 0.00202598425484282
0.60 269.271 40.144 0.0020335337845156895
0.61 275.314 39.290 0.0018430074318875086
0.62 278.806 36.565 0.0013466594264265786
0.63 275.152 31.760 0.0007745596737443382
0.64 --undefined-- 28.817 0.0005519182443956811
0.65 --undefined-- 30.203 0.0006473884801712595
0.66 --undefined-- 31.639 0.000763758975427357
0.67 --undefined-- 32.749 0.0008679681808719357
0.68 --undefined-- 33.714 0.0009698854465320454
0.69 --undefined-- 33.852 0.0009854144228703757
0.70 --undefined-- 32.983 0.0008916353679846885
0.71 --undefined-- 31.889 0.0007860738215745291
0.72 --undefined-- 31.789 0.0007771074702751034
0.73 --undefined-- 32.393 0.0008330748048362842
0.74 --undefined-- 32.397 0.000833495736769749
0.75 --undefined-- 31.666 0.0007661765685761519
0.76 --undefined-- 29.602 0.000604140560203527
0.77 --undefined-- 25.778 0.0003889747294121509
0.78 --undefined-- 22.419 0.0002642394799507369
0.79 --undefined-- 21.167 0.00022876652285021412
0.80 --undefined-- 20.683 0.0002163570542810281
0.81 --undefined-- 20.067 0.0002015439262131693
0.82 --undefined-- 26.068 0.00040219550538212053
0.83 --undefined-- 34.168 0.0010219001000258833
0.84 --undefined-- 38.259 0.0016367212575998853
0.85 222.193 39.028 0.0017881810282369646
0.86 218.644 38.158 0.001617760477727051
0.87 212.220 37.318 0.0014686756858587652
0.88 204.610 36.709 0.0013693060001213264
0.89 201.501 36.279 0.0013031729521495417
0.90 200.124 36.090 0.0012750835051348105
0.91 198.710 36.117 0.0012789762521175753
0.92 199.369 36.322 0.0013096191964476677
0.93 200.308 36.605 0.0013528815874324365
0.94 203.074 37.010 0.001417561455395694
0.95 205.769 38.157 0.0016175950123511352
0.96 208.736 40.420 0.002099001189199574
0.97 --undefined-- 42.670 0.002719652570656315
0.98 --undefined-- 44.267 0.0032687390964705023
0.99 --undefined-- 45.416 0.0037309192620002935
1.00 --undefined-- 46.302 0.004131772542754092
1.01 226.244 46.942 0.004447479760148991
1.02 227.946 47.266 0.004616808262586821
1.03 229.151 47.317 0.004643740381572308
1.04 236.251 47.156 0.0045586309454251845
1.05 238.718 46.458 0.004206370854009466
1.06 237.264 44.763 0.003460838337464046
1.07 239.488 43.065 0.00284617939756747
1.08 244.256 42.821 0.002767377800248476
1.09 249.717 43.364 0.0029458139779309635
1.10 256.231 44.213 0.003248621051760247
1.11 262.418 45.242 0.0036571805023200735
1.12 268.610 46.253 0.004108291965406741
1.13 274.028 46.938 0.004445628248470556
1.14 279.723 46.822 0.004386391589493209
1.15 285.519 45.166 0.0036250986340812274
1.16 287.587 41.418 0.0023547753737295876
1.17 --undefined-- 37.419 0.0014859030683202793
1.18 --undefined-- 36.809 0.0013850504099894984
1.19 --undefined-- 36.249 0.0012986053034445366
1.20 --undefined-- 34.213 0.0010272670332021735
1.21 --undefined-- 30.745 0.0006891330528642519
1.22 --undefined-- 26.873 0.0004412277976834521
1.23 --undefined-- 23.324 0.00029325646408198675
1.24 --undefined-- 18.578 0.00016979229344659026
1.25 --undefined-- 13.284 9.23007765917609e-005
1.26 --undefined-- 12.615 8.546351990139597e-005
1.27 --undefined-- 15.981 0.0001259163508116647
1.28 --undefined-- 18.438 0.00016708481549019565
1.29 --undefined-- 22.687 0.0002725200712146825
1.30 --undefined-- 27.191 0.0004577093280534484
1.31 --undefined-- 28.374 0.0005244528173058296
1.32 --undefined-- 27.139 0.0004549682379888528
1.33 --undefined-- 26.251 0.00041074055207704265
1.34 --undefined-- 27.637 0.00048183970562513327
1.35 --undefined-- 29.414 0.0005912114409887149
1.36 --undefined-- 29.336 0.0005859140526624202
1.37 --undefined-- 27.387 0.0004681355372337412
1.38 --undefined-- 25.094 0.00035954588094574253
1.39 --undefined-- 27.016 0.0004485719289458078
1.40 --undefined-- 33.002 0.0008936085363031155
1.41 215.140 36.770 0.0013789609570563535
1.42 210.220 38.283 0.0016412014047793853
1.43 205.981 38.746 0.0017311611984774029
1.44 202.839 39.095 0.001802137320812398
1.45 199.771 39.333 0.0018522187246170886
1.46 197.798 39.185 0.0018209520635168938
1.47 198.778 38.586 0.0016996162118431927
1.48 206.028 37.751 0.0015437288968609944
1.49 211.838 36.548 0.0013440790298560163
1.50 217.130 34.559 0.0010689594791435145
1.51 223.873 31.868 0.0007842146266152635
1.52 221.564 28.741 0.0005471195399121163
1.53 --undefined-- 28.167 0.0005121581741205486
1.54 --undefined-- 29.544 0.0006001170066258853
1.55 --undefined-- 28.850 0.000554026746151782
1.56 --undefined-- 25.769 0.0003885740296919695
1.57 --undefined-- 22.318 0.0002611691661991877
1.58 --undefined-- 22.577 0.000269064006070522
1.59 --undefined-- 24.255 0.0003264217760163474
1.60 --undefined-- 25.363 0.00037084407316738665
1.61 --undefined-- 26.791 0.0004371039021132018
1.62 --undefined-- 30.822 0.0006952271305352431
1.63 --undefined-- 34.870 0.0011079679072056588
1.64 228.482 36.637 0.001357964272858561
1.65 226.281 36.283 0.0013037030008737677
1.66 225.346 35.020 0.0011272772543105484
1.67 229.159 34.286 0.0010359090119870706
1.68 231.330 34.426 0.001052727972008779
1.69 231.849 34.983 0.001122464167249291
1.70 230.438 35.550 0.0011982018583721076
1.71 231.274 35.527 0.0011949972411740156
1.72 234.262 34.440 0.001054456578561796
1.73 240.435 32.292 0.0008234388117502731
1.74 235.029 29.548 0.000600356486918259
1.75 227.093 28.554 0.0005354870840681785
1.76 --undefined-- 30.968 0.0007070305262007053
1.77 --undefined-- 33.899 0.0009908140273003612
1.78 --undefined-- 35.965 0.0012568115074187282
1.79 --undefined-- 36.756 0.0013766848570917166
1.80 --undefined-- 36.236 0.0012966601619804024
1.81 --undefined-- 35.292 0.0011631966362356128
1.82 --undefined-- 34.246 0.0010311611833820973
1.83 --undefined-- 32.108 0.0008061953550727924
1.84 --undefined-- 27.996 0.00050212429673948125
1.85 --undefined-- 23.914 0.00031385879668700085
1.86 --undefined-- 28.618 0.0005393969625094775
1.87 --undefined-- 33.939 0.0009953132977711832
1.88 232.006 36.597 0.001351774353451179
1.89 221.674 37.486 0.0014973599666591691
1.90 207.958 37.590 0.001515456053703098
1.91 199.591 37.316 0.0014683673290522734
1.92 196.901 37.219 0.001451973947475295
1.93 191.342 37.622 0.0015209535303634736
1.94 178.722 37.913 0.001572857400402196
1.95 176.024 37.520 0.0015033022961605034
1.96 --undefined-- 36.191 0.0012899772623862788
1.97 --undefined-- 35.063 0.0011328853437630926
1.98 --undefined-- 34.996 0.0011242131094736086
1.99 --undefined-- 33.409 0.0009364377205351007
2.00 --undefined-- 30.322 0.0006563780207595207
2.01 --undefined-- 29.152 0.0005736092917881736
2.02 --undefined-- 27.077 0.0004517321324928674
2.03 --undefined-- 21.229 0.00023039446307170265
2.04 --undefined-- 12.845 8.776017552590562e-005
2.05 --undefined-- 11.881 7.853823531634067e-005
2.06 --undefined-- 12.634 8.565111281980887e-005
2.07 --undefined-- 11.803 7.783380877349404e-005
2.08 --undefined-- 9.957 6.293116999663241e-005
2.09 --undefined-- 9.280 5.821442833173237e-005
2.10 --undefined-- 9.659 6.081043107320893e-005
2.11 --undefined-- 9.988 6.31611407455953e-005
2.12 --undefined-- 10.173 6.45212956414693e-005
2.13 --undefined-- 10.014 6.334597887176355e-005
2.14 --undefined-- 9.458 5.941626840918152e-005
2.15 --undefined-- 9.033 5.6584494959755445e-005
2.16 --undefined-- 9.435 5.926345942329643e-005
2.17 --undefined-- 10.243 6.504195401690237e-005
2.18 --undefined-- 10.858 6.98105808370316e-005
2.19 --undefined-- 11.915 7.88475628475157e-005
2.20 --undefined-- 14.511 0.00010631310668218656
2.21 --undefined-- 22.954 0.0002810276451855906
2.22 201.269 30.637 0.0006805600325565704
