Here	are	the	results:	time	-	pitch(Hz)	-	Amplitude(dB)	-	RMSqIntensity(Pa)
0.01	--undefined--	--undefined--	--undefined--							
0.02	--undefined--	--undefined--	--undefined--							
0.03	--undefined--	--undefined--	--undefined--							
0.04	--undefined--	--undefined--	--undefined--							
0.05	--undefined--	13.625	9.60E-05							
0.06	--undefined--	13.886	9.89E-05							
0.07	--undefined--	12.651	8.58E-05							
0.08	--undefined--	11.018	7.11E-05							
0.09	--undefined--	10.329	6.57E-05							
0.1	--undefined--	10.284	6.53E-05							
0.11	--undefined--	10.913	7.03E-05							
0.12	--undefined--	14.634	0.000107829							
0.13	--undefined--	21.629	0.000241261							
0.14	--undefined--	30.854	0.000697816							
0.15	--undefined--	38.778	0.001737466							
0.16	249.463	43.094	0.00285585							
0.17	242.216	44.436	0.003333014							
0.18	241.092	44.461	0.003342606							
0.19	240.052	44.481	0.003350265							
0.2	238.826	44.514	0.003363144							
0.21	238.269	44.586	0.003391149							
0.22	237.075	44.744	0.003453237							
0.23	236.599	44.956	0.00353847							
0.24	236.54	45.155	0.003620689							
0.25	236.317	45.325	0.003692078							
0.26	235.84	45.562	0.00379435							
0.27	235.734	45.986	0.003983937							
0.28	236.315	46.555	0.004253793							
0.29	236.953	47.033	0.004494656							
0.3	237.306	47.304	0.00463671							
0.31	237.353	47.436	0.004708193							
0.32	237.695	47.547	0.004768476							
0.33	238.234	47.775	0.004895315							
0.34	239.553	48.287	0.005192588							
0.35	242.375	49.116	0.005712868							
0.36	244.233	49.959	0.006295094							
0.37	241.782	50.473	0.006678276							
0.38	240.335	50.659	0.006822993							
0.39	241.29	50.706	0.006860228							
0.4	242.527	50.634	0.006803852							
0.41	243.192	50.363	0.006594116							
0.42	243.849	49.893	0.00624703							
0.43	243.863	49.228	0.005786544							
0.44	244.162	48.223	0.005154712							
0.45	--undefined--	46.687	0.004318977							
0.46	--undefined--	44.339	0.003296096							
0.47	--undefined--	40.338	0.002079281							
0.48	--undefined--	35.568	0.001200688							
0.49	--undefined--	38.48	0.001678953							
0.5	267.693	42.253	0.002592198							
0.51	268.442	43.95	0.003151676							
0.52	265.226	44.144	0.003222863							
0.53	262.106	43.395	0.002956369							
0.54	260.078	42.385	0.00263185							
0.55	258.778	41.507	0.002378875							
0.56	256.656	40.736	0.002176794							
0.57	256.094	40.21	0.002048909							
0.58	256.392	40.019	0.002004281							
0.59	260.382	40.112	0.002025984							
0.6	269.271	40.144	0.002033534							
0.61	275.314	39.29	0.001843007							
0.62	278.806	36.565	0.001346659							
0.63	275.152	31.76	0.00077456							
0.64	--undefined--	28.817	0.000551918							
0.65	--undefined--	30.203	0.000647388							
0.66	--undefined--	31.639	0.000763759							
0.67	--undefined--	32.749	0.000867968							
0.68	--undefined--	33.714	0.000969885							
0.69	--undefined--	33.852	0.000985414							
0.7	--undefined--	32.983	0.000891635							
0.71	--undefined--	31.889	0.000786074							
0.72	--undefined--	31.789	0.000777107							
0.73	--undefined--	32.393	0.000833075							
0.74	--undefined--	32.397	0.000833496							
0.75	--undefined--	31.666	0.000766177							
0.76	--undefined--	29.602	0.000604141							
0.77	--undefined--	25.778	0.000388975							
0.78	--undefined--	22.419	0.000264239							
0.79	--undefined--	21.167	0.000228767							
0.8	--undefined--	20.683	0.000216357							
0.81	--undefined--	20.067	0.000201544							
0.82	--undefined--	26.068	0.000402196							
0.83	--undefined--	34.168	0.0010219							
0.84	--undefined--	38.259	0.001636721							
0.85	222.193	39.028	0.001788181							
0.86	218.644	38.158	0.00161776							
0.87	212.22	37.318	0.001468676							
0.88	204.61	36.709	0.001369306							
0.89	201.501	36.279	0.001303173							
0.9	200.124	36.09	0.001275084							
0.91	198.71	36.117	0.001278976							
0.92	199.369	36.322	0.001309619							
0.93	200.308	36.605	0.001352882							
0.94	203.074	37.01	0.001417561							
0.95	205.769	38.157	0.001617595							
0.96	208.736	40.42	0.002099001							
0.97	--undefined--	42.67	0.002719653							
0.98	--undefined--	44.267	0.003268739							
0.99	--undefined--	45.416	0.003730919							
1	--undefined--	46.302	0.004131773							
1.01	226.244	46.942	0.00444748							
1.02	227.946	47.266	0.004616808							
1.03	229.151	47.317	0.00464374							
1.04	236.251	47.156	0.004558631							
1.05	238.718	46.458	0.004206371							
1.06	237.264	44.763	0.003460838							
1.07	239.488	43.065	0.002846179							
1.08	244.256	42.821	0.002767378							
1.09	249.717	43.364	0.002945814							
1.1	256.231	44.213	0.003248621							
1.11	262.418	45.242	0.003657181							
1.12	268.61	46.253	0.004108292							
1.13	274.028	46.938	0.004445628							
1.14	279.723	46.822	0.004386392							
1.15	285.519	45.166	0.003625099							
1.16	287.587	41.418	0.002354775							
1.17	--undefined--	37.419	0.001485903							
1.18	--undefined--	36.809	0.00138505							
1.19	--undefined--	36.249	0.001298605							
1.2	--undefined--	34.213	0.001027267							
1.21	--undefined--	30.745	0.000689133							
1.22	--undefined--	26.873	0.000441228							
1.23	--undefined--	23.324	0.000293256							
1.24	--undefined--	18.578	0.000169792							
1.25	--undefined--	13.284	9.23E-05							
1.26	--undefined--	12.615	8.55E-05							
1.27	--undefined--	15.981	0.000125916							
1.28	--undefined--	18.438	0.000167085							
1.29	--undefined--	22.687	0.00027252							
1.3	--undefined--	27.191	0.000457709							
1.31	--undefined--	28.374	0.000524453							
1.32	--undefined--	27.139	0.000454968							
1.33	--undefined--	26.251	0.000410741							
1.34	--undefined--	27.637	0.00048184							
1.35	--undefined--	29.414	0.000591211							
1.36	--undefined--	29.336	0.000585914							
1.37	--undefined--	27.387	0.000468136							
1.38	--undefined--	25.094	0.000359546							
1.39	--undefined--	27.016	0.000448572							
1.4	--undefined--	33.002	0.000893609							
1.41	215.14	36.77	0.001378961							
1.42	210.22	38.283	0.001641201							
1.43	205.981	38.746	0.001731161							
