Here are the results for Channel 1 (nasal): time - pitch(Hz) - Amplitude(dB) - RMSqIntensity(Pa)
0.01 --undefined-- --undefined-- --undefined--
0.02 --undefined-- --undefined-- --undefined--
0.03 --undefined-- --undefined-- --undefined--
0.04 --undefined-- --undefined-- --undefined--
0.05 --undefined-- 14.697 0.00010860898053442811
0.06 --undefined-- 14.537 0.0001066253540917008
0.07 --undefined-- 14.186 0.00010241271732476206
0.08 --undefined-- 14.834 0.00011033628248471236
0.09 --undefined-- 15.841 0.00012390750883790292
0.10 --undefined-- 19.007 0.00017838568839871155
0.11 --undefined-- 25.105 0.0003599784549535368
0.12 --undefined-- 28.554 0.0005354477107583619
0.13 --undefined-- 28.700 0.0005445694707743243
0.14 --undefined-- 26.345 0.00041522041303174905
0.15 --undefined-- 23.747 0.00030788818960907874
0.16 --undefined-- 30.173 0.0006451917643829278
0.17 213.870 41.203 0.0022971280827009228
0.18 226.237 48.735 0.005467406275916166
0.19 224.690 52.536 0.008468479781294908
0.20 214.416 53.260 0.00920508700130513
0.21 202.141 52.400 0.00833737910290335
0.22 199.798 51.881 0.007853465975955997
0.23 198.790 51.896 0.007867563193976272
0.24 199.309 52.208 0.008155173679537067
0.25 200.214 52.714 0.008644660953810985
0.26 198.589 53.195 0.009136468074215696
0.27 198.158 53.981 0.010002146436264545
0.28 204.379 55.005 0.011253817242296541
0.29 204.166 55.495 0.011906560782516142
0.30 204.006 55.516 0.011935835749961257
0.31 203.062 55.359 0.011721438723936451
0.32 202.355 55.179 0.01148107368040983
0.33 202.173 55.088 0.01136116744982154
0.34 202.689 55.177 0.01147826643994222
0.35 207.475 55.509 0.011925107512452604
0.36 205.438 55.523 0.011945490767600982
0.37 201.897 54.935 0.011162849884685083
0.38 200.870 54.542 0.010669603439953754
0.39 200.882 54.790 0.010978124017197085
0.40 201.044 55.190 0.011495189096225513
0.41 199.480 55.230 0.011548023748958039
0.42 200.154 55.140 0.011430120701901645
0.43 203.184 55.170 0.011468849328722577
0.44 201.248 55.020 0.011273054673798855
0.45 199.433 54.735 0.010908902160026155
0.46 197.214 54.440 0.010544731141491398
0.47 195.125 54.079 0.010115558171244071
0.48 191.928 53.524 0.009489391309838806
0.49 188.880 53.128 0.009066079322331007
0.50 187.581 53.730 0.009716495004173386
0.51 181.800 54.853 0.011058458478721065
0.52 178.735 55.478 0.011883554382088336
0.53 177.556 55.667 0.012144244183135191
0.54 176.385 55.649 0.012119042775973905
0.55 175.890 55.455 0.011852315011261045
0.56 175.758 55.039 0.011297911995602783
0.57 176.519 54.283 0.010355672063823932
0.58 177.397 53.130 0.009068333141703628
0.59 178.178 51.512 0.007526961472384775
0.60 178.527 49.149 0.005734144972188166
0.61 177.319 45.422 0.003733751442424632
0.62 173.469 39.602 0.0019103195469948998
0.63 --undefined-- 31.424 0.0007450839390213507
0.64 --undefined-- 22.992 0.0002822469533961755
0.65 --undefined-- 20.058 0.00020135117354074856
0.66 --undefined-- 20.405 0.00020954140305593739
0.67 --undefined-- 20.619 0.0002147608494084003
0.68 --undefined-- 21.215 0.00023003948023344125
0.69 --undefined-- 22.413 0.0002640439472239047
0.70 --undefined-- 22.666 0.00027184347663104856
0.71 --undefined-- 22.110 0.00025499653626363876
0.72 --undefined-- 24.200 0.0003243786309789328
0.73 --undefined-- 34.897 0.0011113993670485117
0.74 --undefined-- 43.550 0.00300987592351803
0.75 201.968 48.038 0.005045794063526942
0.76 193.527 49.419 0.0059153978525762286
0.77 184.612 49.347 0.005866696785044895
0.78 180.677 49.336 0.005859104829745807
0.79 176.243 49.520 0.005984538136654224
0.80 177.032 49.764 0.006155328275924298
0.81 180.375 49.806 0.006184645332433121
0.82 179.061 49.685 0.006099481823730498
0.83 177.243 49.581 0.006026969873152836
0.84 174.443 49.416 0.005913311860778876
0.85 172.509 49.176 0.005752393564943155
0.86 171.685 48.916 0.005582771296806217
0.87 171.291 48.842 0.005535073446432137
0.88 170.622 49.095 0.0056986388537603
0.89 171.350 49.659 0.006081079746947625
0.90 171.785 50.283 0.006533969996380385
0.91 173.373 50.381 0.006608432492061649
0.92 172.739 50.164 0.006445223730979777
0.93 170.772 50.105 0.0064012473898005405
0.94 169.623 50.062 0.006370202459725656
0.95 168.839 50.052 0.006362228724387075
0.96 168.862 50.240 0.006501392877387976
0.97 168.587 50.437 0.006650739381743439
0.98 166.634 50.255 0.006512706490734548
0.99 164.393 49.901 0.0062528769932370465
1.00 169.059 49.910 0.006259607862514096
1.01 168.379 50.182 0.006458512153196108
1.02 167.606 50.446 0.006657925264398907
1.03 166.964 50.604 0.006780116990230896
1.04 166.524 50.711 0.006864408942506809
1.05 166.404 50.834 0.006962047937008418
1.06 169.323 50.987 0.007085903325243485
1.07 172.136 50.898 0.007013134523586835
1.08 168.986 50.357 0.006590273496239819
1.09 167.449 49.933 0.006276125140491556
1.10 165.969 49.839 0.006208313222939253
1.11 163.934 49.877 0.006235601704096787
1.12 161.901 50.323 0.006563920455707326
1.13 163.882 51.017 0.007110356986908531
1.14 164.132 51.214 0.007273624705386954
1.15 163.510 50.769 0.006910223944339263
1.16 162.440 49.879 0.006236868066298311
1.17 160.517 48.587 0.005375306232300912
1.18 157.052 46.728 0.004339228743328542
1.19 153.974 43.893 0.003130951942733381
1.20 153.999 39.567 0.0019028150436903066
1.21 --undefined-- 33.431 0.0009387977209182547
1.22 --undefined-- 25.542 0.00037855166426963607
1.23 --undefined-- 21.036 0.00022533461519072122
1.24 --undefined-- 25.125 0.0003608131768520426
1.25 --undefined-- 34.357 0.0010444475942251084
1.26 --undefined-- 40.335 0.0020786126551959757
1.27 --undefined-- 42.822 0.0027676710086120917
1.28 --undefined-- 44.366 0.0033062572683879334
1.29 --undefined-- 45.421 0.0037333723609079524
1.30 76.126 44.964 0.0035417016037653636
1.31 79.927 44.640 0.003412034756323289
1.32 79.334 44.613 0.0034016425726811736
1.33 --undefined-- 44.691 0.003432067554619874
1.34 209.960 44.106 0.003208593915234335
1.35 217.120 42.360 0.0026243430885970072
1.36 217.856 42.036 0.0025283393564772224
1.37 226.259 42.620 0.002704169511363978
1.38 224.260 42.401 0.002636729610737081
1.39 213.992 42.354 0.0026226720670570014
1.40 215.407 41.941 0.0025008816089610157
1.41 221.913 41.513 0.002380547827201354
1.42 224.278 41.882 0.0024838744899950875
1.43 224.226 41.054 0.002257941541985884
1.44 228.874 41.524 0.0023836766530470465
1.45 226.012 41.247 0.002308829367903078
1.46 226.559 40.582 0.0021386001807634264
1.47 226.948 41.490 0.0023742089990959406
1.48 222.179 41.231 0.0023044922169872424
1.49 227.671 42.044 0.0025306423857070492
1.50 224.628 43.310 0.002927655328997464
1.51 217.010 44.680 0.003428023214442102
1.52 228.604 45.672 0.0038424379074846267
1.53 218.598 45.753 0.0038784762536099916
1.54 191.075 44.735 0.0034497250653968384
1.55 184.883 43.345 0.002939439061182951
1.56 186.949 42.798 0.0027600259395860294
1.57 187.634 41.933 0.0024984238799339066
1.58 183.763 39.739 0.0019408447078184349
1.59 177.437 36.095 0.0012757970464278975
1.60 --undefined-- 31.552 0.0007561547998972076
1.61 --undefined-- 27.712 0.000485973301899626
1.62 --undefined-- 30.519 0.0006713601549449672
1.63 --undefined-- 35.880 0.0012446626780364632
1.64 --undefined-- 38.866 0.0017552760439955954
1.65 --undefined-- 38.775 0.001736928323796513
1.66 --undefined-- 36.309 0.0013075996164796677
1.67 --undefined-- 34.586 0.0010723540773688233
1.68 --undefined-- 34.994 0.0011239132272218633
1.69 --undefined-- 38.143 0.001615012544979771
1.70 --undefined-- 40.078 0.0020180383093028075
1.71 --undefined-- 39.204 0.0018249550979423223
1.72 --undefined-- 37.521 0.0015033365919278638
1.73 --undefined-- 37.725 0.0015391443142979448
1.74 --undefined-- 39.002 0.0017828736555288956
1.75 --undefined-- 39.792 0.0019527090424217245
1.76 --undefined-- 40.126 0.0020291145818928965
1.77 --undefined-- 39.379 0.0018619298110423576
1.78 --undefined-- 37.526 0.0015042717006348426
1.79 --undefined-- 36.881 0.001396562397067752
1.80 --undefined-- 37.463 0.0014934989185164472
1.81 --undefined-- 37.974 0.0015838387514645433
1.82 --undefined-- 38.828 0.001747532170866056
1.83 --undefined-- 39.438 0.0018746550371958155
1.84 --undefined-- 38.290 0.0016426225463820508
1.85 --undefined-- 37.210 0.0014504997774817429
1.86 --undefined-- 40.735 0.0021767050892311855
1.87 --undefined-- 44.111 0.003210627005403086
1.88 --undefined-- 43.649 0.003044331502008936
1.89 --undefined-- 39.513 0.0018908787143519861
1.90 --undefined-- 36.546 0.0013437398147526313
1.91 --undefined-- 36.595 0.0013514059861183254
1.92 --undefined-- 36.862 0.0013935784710325096
1.93 --undefined-- 36.150 0.0012838587292055637
1.94 --undefined-- 35.275 0.0011609250848759003
1.95 --undefined-- 37.585 0.0015145444228522682
1.96 --undefined-- 39.235 0.0018313420909242721
1.97 --undefined-- 39.274 0.0018397269264562172
1.98 --undefined-- 39.656 0.001922304858144671
1.99 --undefined-- 39.386 0.0018635625417754175
2.00 --undefined-- 37.957 0.0015808542757391457
2.01 --undefined-- 37.003 0.0014163108745434932
2.02 --undefined-- 35.593 0.0012041986419317448
2.03 --undefined-- 36.177 0.0012879326974163995
2.04 --undefined-- 38.134 0.0016133826246335606
2.05 --undefined-- 38.172 0.0016203815833720186
2.06 --undefined-- 37.000 0.0014159368107424292
2.07 --undefined-- 35.117 0.0011398857619981581
2.08 --undefined-- 32.505 0.0008438476862369
2.09 --undefined-- 32.516 0.0008449065447994377
2.10 --undefined-- 35.353 0.001171398628136415
2.11 --undefined-- 37.791 0.0015509688494357763
2.12 --undefined-- 37.990 0.0015868151764427457
2.13 --undefined-- 35.572 0.0012012596708936105
2.14 --undefined-- 31.849 0.0007824894095275904
2.15 --undefined-- 32.534 0.0008466808464994382
2.16 --undefined-- 36.366 0.0013161501649861596
2.17 --undefined-- 37.837 0.0015590354100105408
2.18 --undefined-- 36.423 0.0013249549004100986
2.19 --undefined-- 34.626 0.0010773353674875794
2.20 --undefined-- 36.371 0.001316976212501806
2.21 --undefined-- 38.173 0.0016206777291174158
2.22 --undefined-- 40.070 0.002016208442114671
2.23 --undefined-- 40.412 0.0020972455245999977
2.24 --undefined-- 37.336 0.0014717355736879505
2.25 --undefined-- 33.225 0.0009168081652403789
2.26 --undefined-- 34.302 0.0010378477153490239
2.27 --undefined-- 35.740 0.00122471972541826
