Here are the results for Channel 1 (nasal): time - pitch(Hz) - Amplitude(dB) - RMSqIntensity(Pa)
0.01 --undefined-- --undefined-- --undefined--
0.02 --undefined-- --undefined-- --undefined--
0.03 --undefined-- --undefined-- --undefined--
0.04 --undefined-- --undefined-- --undefined--
0.05 --undefined-- 14.819 0.00011014719476598896
0.06 --undefined-- 16.021 0.00012650052219304777
0.07 --undefined-- 16.175 0.0001287552812432552
0.08 --undefined-- 14.990 0.00011233611013591288
0.09 --undefined-- 13.994 0.00010016730640868456
0.10 --undefined-- 14.615 0.0001075913437463688
0.11 --undefined-- 15.820 0.0001236092628639131
0.12 --undefined-- 22.366 0.0002626254142141372
0.13 --undefined-- 28.769 0.0005488890614674763
0.14 --undefined-- 31.017 0.0007110132183630365
0.15 --undefined-- 29.136 0.0005725579538836025
0.16 --undefined-- 29.251 0.0005802311727110918
0.17 --undefined-- 40.436 0.002102861810762482
0.18 234.143 47.853 0.004939326060051784
0.19 234.901 51.087 0.007168057676843551
0.20 226.448 51.707 0.007698114250341236
0.21 191.171 52.318 0.008258980063525555
0.22 201.258 53.378 0.009331461272026347
0.23 192.900 53.543 0.009510003756447848
0.24 190.875 52.784 0.008714525852047877
0.25 192.524 52.383 0.008320869357771262
0.26 193.927 52.686 0.008616697342930493
0.27 196.647 53.416 0.009372200207785342
0.28 200.095 54.497 0.010613918250437074
0.29 201.017 55.579 0.012022714257424266
0.30 198.968 56.413 0.013233288284448726
0.31 206.872 57.324 0.014696979906534267
0.32 207.783 58.081 0.016035098403269915
0.33 208.171 58.423 0.016678759192381622
0.34 208.447 58.553 0.01693158160740587
0.35 208.915 58.644 0.017109431494205973
0.36 209.638 58.744 0.01730671246455964
0.37 210.401 58.917 0.017655711207767724
0.38 214.128 59.211 0.01826335069162973
0.39 211.457 58.965 0.017752358592388523
0.40 208.518 57.840 0.015595970786324898
0.41 207.792 56.865 0.013940267923714306
0.42 206.940 56.550 0.013444772330282542
0.43 206.089 56.569 0.013473855160450906
0.44 205.452 56.837 0.013895228260611386
0.45 204.741 57.243 0.014561178295907947
0.46 202.595 57.456 0.014922957252471293
0.47 198.812 57.067 0.01426824686023814
0.48 197.769 56.378 0.013181188007020101
0.49 200.854 55.955 0.012553261789277296
0.50 197.173 55.334 0.011687756770579824
0.51 193.328 54.446 0.010551804951645476
0.52 190.147 53.636 0.009611827301006523
0.53 187.043 53.050 0.008985146616532573
0.54 186.849 53.239 0.009182872954412533
0.55 --undefined-- 54.436 0.010539643504551693
0.56 90.484 55.298 0.011639948365712128
0.57 89.142 55.226 0.01154343647501443
0.58 88.332 54.744 0.010920529575750496
0.59 88.244 54.379 0.01047038383340353
0.60 88.731 54.138 0.01018443840284797
0.61 89.632 53.626 0.009601568442663439
0.62 181.539 52.517 0.008450031585921159
0.63 183.928 50.980 0.007079723714923978
0.64 185.052 49.345 0.005865126775823617
0.65 184.071 47.176 0.004569132198726122
0.66 179.700 43.467 0.0029811078973178712
0.67 169.055 37.433 0.0014883343758269512
0.68 --undefined-- 29.305 0.000583788630003776
0.69 --undefined-- 22.985 0.0002820233266957349
0.70 --undefined-- 20.788 0.00021899290054541422
0.71 --undefined-- 20.157 0.0002036403858422705
0.72 --undefined-- 19.697 0.00019313337660700164
0.73 --undefined-- 19.396 0.00018655493649902334
0.74 --undefined-- 21.046 0.00022560377917216242
0.75 --undefined-- 22.898 0.0002792233532666999
0.76 --undefined-- 23.932 0.0003144902234276969
0.77 --undefined-- 31.021 0.0007113479813124646
0.78 --undefined-- 41.142 0.002280979324245096
0.79 --undefined-- 47.246 0.004605918567735347
0.80 191.328 50.042 0.00635533328682349
0.81 187.427 50.734 0.006882299834198759
0.82 183.464 50.603 0.006779495369388675
0.83 178.711 50.390 0.006615138917590814
0.84 175.419 50.283 0.006533793892088876
0.85 179.704 50.237 0.006499388841764087
0.86 179.007 50.137 0.006424852704651206
0.87 177.923 50.122 0.006414117574672028
0.88 177.127 50.101 0.006398188777558124
0.89 176.374 49.980 0.006310204342525463
0.90 175.015 49.817 0.006192759620165657
0.91 174.301 50.022 0.006340390671123599
0.92 173.037 50.924 0.007034792598367702
0.93 172.854 51.868 0.007841842737661895
0.94 172.545 52.163 0.008113172256310754
0.95 172.005 51.729 0.007717307072290709
0.96 171.270 51.162 0.0072301639118247645
0.97 169.529 50.983 0.007082065213384621
0.98 168.216 50.929 0.007038790547582233
0.99 167.949 50.897 0.007012431166493201
1.00 167.828 50.957 0.007061434400182207
1.01 166.768 50.907 0.007020576486736752
1.02 164.509 50.617 0.006790106168054586
1.03 169.618 50.468 0.006675053786576305
1.04 170.945 50.591 0.0067696421113971885
1.05 170.789 50.751 0.006895691234306947
1.06 168.518 50.804 0.006938065443855937
1.07 166.790 50.799 0.006933886873904106
1.08 166.475 50.858 0.006980980792278048
1.09 166.945 51.102 0.007179936102212776
1.10 171.020 51.351 0.007388740853270864
1.11 169.019 51.055 0.007141699898198218
1.12 168.344 50.477 0.006681778139001435
1.13 168.402 50.276 0.006528902362622511
1.14 167.744 50.272 0.006526079771397163
1.15 166.617 50.216 0.006483488117193571
1.16 164.892 50.299 0.0065461719516005535
1.17 165.375 50.830 0.006958462571217472
1.18 167.068 51.322 0.0073644196470394425
1.19 167.177 51.266 0.007316550650080731
1.20 166.762 50.721 0.00687166620511469
1.21 165.342 49.746 0.006142257798978619
1.22 162.645 48.124 0.0050962946102239785
1.23 160.220 45.434 0.003738806420109715
1.24 159.277 41.181 0.0022912383572154657
1.25 --undefined-- 34.997 0.0011243313181632198
1.26 --undefined-- 27.367 0.00046706812779157215
1.27 --undefined-- 25.253 0.00036618445307994317
1.28 --undefined-- 28.040 0.0005047166240949351
1.29 --undefined-- 35.612 0.001206758820127933
1.30 --undefined-- 41.842 0.0024725668018410938
1.31 --undefined-- 44.378 0.003310903693529946
1.32 --undefined-- 44.668 0.003423260919241035
1.33 --undefined-- 44.613 0.0034014213603306355
1.34 --undefined-- 44.694 0.0034335306312813637
1.35 --undefined-- 45.041 0.0035732395298848107
1.36 --undefined-- 45.390 0.0037198635327881043
1.37 --undefined-- 45.488 0.0037621546199016493
1.38 --undefined-- 45.119 0.003605656695899186
1.39 226.981 44.551 0.0033774839615506487
1.40 225.263 43.607 0.003029590627904127
1.41 218.458 42.648 0.0027128173323453493
1.42 218.861 42.463 0.0026557945296834242
1.43 220.391 40.727 0.0021745776009166416
1.44 220.598 39.832 0.0019617235273773482
1.45 219.809 40.461 0.002108962734048176
1.46 --undefined-- 40.204 0.002047580303132913
1.47 --undefined-- 39.396 0.0018656609765942966
1.48 --undefined-- 37.858 0.0015628178894017335
1.49 205.971 38.738 0.001729483480012597
1.50 203.277 40.271 0.002063271149589699
1.51 208.665 39.951 0.0019886976951984255
1.52 223.235 40.947 0.0022303588032030375
1.53 224.142 41.272 0.002315410352082769
1.54 207.936 40.623 0.0021487380501498837
1.55 206.485 42.853 0.0027777691569419337
1.56 190.431 43.930 0.0031444932179495256
1.57 183.434 43.441 0.002972318436849557
1.58 186.860 43.351 0.0029417046110111825
1.59 186.670 43.421 0.002965367756901055
1.60 187.824 43.081 0.002851448746970039
1.61 187.011 41.815 0.0024648386616853753
1.62 181.074 39.017 0.0017860416514685678
1.63 177.541 34.877 0.0011088891382930457
1.64 --undefined-- 30.592 0.0006770762707677562
1.65 --undefined-- 30.281 0.0006532727311581212
1.66 --undefined-- 33.088 0.0009024200025937985
1.67 --undefined-- 34.673 0.0010830764250540994
1.68 --undefined-- 34.243 0.0010308587006670868
1.69 --undefined-- 32.804 0.0008734054313080299
1.70 --undefined-- 32.670 0.0008600212171416563
1.71 --undefined-- 34.143 0.0010189686484846654
1.72 --undefined-- 36.743 0.0013746688287169784
1.73 --undefined-- 38.570 0.0016964133893080044
1.74 --undefined-- 38.395 0.001662514306660713
1.75 --undefined-- 35.993 0.0012608489087200484
1.76 --undefined-- 33.028 0.000896275399383937
1.77 --undefined-- 34.507 0.001062638357511397
1.78 --undefined-- 39.125 0.001808302703129149
1.79 --undefined-- 41.549 0.002390458581908577
1.80 80.416 41.259 0.002311984483656852
1.81 --undefined-- 39.369 0.0018598333654681319
1.82 --undefined-- 37.077 0.0014284371567987425
1.83 --undefined-- 36.728 0.0013722211799402349
1.84 --undefined-- 38.357 0.0016553970051573514
1.85 --undefined-- 39.081 0.0017991071256530191
1.86 --undefined-- 38.761 0.0017341308277549175
1.87 --undefined-- 37.688 0.0015325684865066783
1.88 --undefined-- 35.949 0.001254472251171994
1.89 --undefined-- 33.859 0.0009862649138247582
1.90 --undefined-- 31.718 0.0007707389796541158
1.91 --undefined-- 30.804 0.0006937741036172713
1.92 --undefined-- 30.948 0.0007053709502121612
1.93 --undefined-- 31.055 0.0007141440073973402
1.94 --undefined-- 31.468 0.0007489131614053473
1.95 --undefined-- 31.089 0.0007169302000437784
1.96 --undefined-- 29.119 0.000571457447928983
1.97 --undefined-- 30.107 0.0006402790655501196
1.98 --undefined-- 32.138 0.0008089750731959807
1.99 --undefined-- 32.297 0.0008239553516655031
2.00 --undefined-- 32.313 0.0008254227915233131
2.01 --undefined-- 32.476 0.0008410698528956852
2.02 --undefined-- 31.208 0.0007267899726879647
2.03 --undefined-- 28.892 0.0005567150556335265
2.04 --undefined-- 26.247 0.00041056971277985137
2.05 --undefined-- 26.092 0.0004033030591339858
2.06 --undefined-- 26.858 0.00044049339279687844
2.07 --undefined-- 24.963 0.0003541571741316299
2.08 --undefined-- 22.256 0.0002593252339859306
2.09 --undefined-- 23.738 0.0003075443092024621
2.10 --undefined-- 27.196 0.000457941153623451
2.11 --undefined-- 31.031 0.0007121561587401984
2.12 --undefined-- 33.246 0.0009190779753654021
2.13 --undefined-- 32.614 0.0008545700228751126
2.14 --undefined-- 30.721 0.0006871961295534819
2.15 --undefined-- 28.654 0.000541637199811554
2.16 --undefined-- 25.669 0.00038415153809760364
2.17 --undefined-- 22.967 0.00028144740906485446
2.18 --undefined-- 20.334 0.0002078320073335917
2.19 --undefined-- 19.272 0.00018392277813551546
2.20 --undefined-- 19.563 0.0001901791654439382
2.21 --undefined-- 21.694 0.0002430776522181841
2.22 --undefined-- 25.045 0.0003575166293465902
2.23 --undefined-- 26.823 0.00043869479674801896
2.24 --undefined-- 26.024 0.00040015209916501406
2.25 --undefined-- 23.202 0.0002891557611192423
2.26 --undefined-- 21.166 0.0002287218712831175
