Here are the results for Channel 1 (nasal): time - pitch(Hz) - Amplitude(dB) - RMSqIntensity(Pa)
0.01 --undefined-- --undefined-- --undefined--
0.02 --undefined-- --undefined-- --undefined--
0.03 --undefined-- --undefined-- --undefined--
0.04 --undefined-- --undefined-- --undefined--
0.05 --undefined-- 16.884 0.00013970382504094146
0.06 --undefined-- 16.780 0.0001380543681149569
0.07 --undefined-- 17.765 0.00015463142332389446
0.08 --undefined-- 18.851 0.00017521465809691226
0.09 --undefined-- 19.827 0.00019604763165818726
0.10 --undefined-- 20.934 0.00022270503392508688
0.11 --undefined-- 21.378 0.00023439255334314397
0.12 --undefined-- 20.936 0.00022276096510610402
0.13 --undefined-- 19.588 0.00019074447280513366
0.14 --undefined-- 18.397 0.00016629000162468417
0.15 --undefined-- 17.845 0.00015606121096982644
0.16 --undefined-- 17.559 0.000151007159875142
0.17 --undefined-- 18.742 0.00017302930983672732
0.18 --undefined-- 23.837 0.0003110923394604262
0.19 --undefined-- 28.055 0.0005055570257935768
0.20 --undefined-- 28.427 0.0005277200509772006
0.21 --undefined-- 24.978 0.0003547523214462958
0.22 --undefined-- 19.953 0.00019893117620721037
0.23 --undefined-- 18.707 0.00017233949188569283
0.24 --undefined-- 18.625 0.0001707094498669954
0.25 --undefined-- 18.362 0.00016563363839312446
0.26 --undefined-- 18.618 0.00017057501788936478
0.27 --undefined-- 18.127 0.00016120716807179047
0.28 --undefined-- 17.642 0.00015244837529731212
0.29 --undefined-- 18.118 0.00016104464446494758
0.30 --undefined-- 17.856 0.00015624791039982964
0.31 --undefined-- 16.298 0.0001305908959380816
0.32 --undefined-- 15.171 0.00011469952286007561
0.33 --undefined-- 15.610 0.00012064572945297266
0.34 --undefined-- 15.952 0.0001255000290133631
0.35 --undefined-- 15.634 0.00012099028582914843
0.36 --undefined-- 15.209 0.00011520433391299073
0.37 --undefined-- 14.959 0.00011193894516400316
0.38 --undefined-- 14.691 0.00010853304927999512
0.39 --undefined-- 14.540 0.0001066657231472957
0.40 --undefined-- 14.595 0.00010734277757478207
0.41 --undefined-- 14.430 0.00010532162989883801
0.42 --undefined-- 14.297 0.00010372105065669445
0.43 --undefined-- 15.002 0.00011249358279660027
0.44 --undefined-- 20.208 0.00020485348147938656
0.45 --undefined-- 30.822 0.0006952473825615775
0.46 240.673 39.780 0.001949875162643928
0.47 236.160 45.804 0.0039014230983595182
0.48 230.345 49.791 0.006173898114246422
0.49 230.188 52.283 0.008225816455274008
0.50 224.122 53.365 0.009317200987072335
0.51 221.956 53.356 0.009306899240957225
0.52 222.128 52.972 0.008904787862743053
0.53 223.008 52.721 0.008650802094062129
0.54 223.251 52.091 0.00804567871504888
0.55 220.474 50.011 0.0063326076491081055
0.56 214.133 45.561 0.003794045369436184
0.57 214.554 38.244 0.0016339870512800253
0.58 --undefined-- 29.421 0.0005916690688101937
0.59 --undefined-- 29.182 0.0005756268526715678
0.60 --undefined-- 32.286 0.0008228572931060076
0.61 --undefined-- 36.499 0.0013364924078706274
0.62 267.017 44.271 0.0032701851023663117
0.63 256.501 49.199 0.005767184860044314
0.64 243.899 51.154 0.007222824418406186
0.65 234.302 51.468 0.007489450253732257
0.66 230.821 50.946 0.00705265970774263
0.67 226.363 48.794 0.005504616309089618
0.68 218.331 44.145 0.0032232349588697316
0.69 221.707 37.378 0.0014788286668089223
0.70 230.349 30.265 0.0006520678818766533
0.71 --undefined-- 24.278 0.0003272693762283553
0.72 --undefined-- 25.321 0.00036903960596121717
0.73 --undefined-- 36.969 0.0014108869447071214
0.74 --undefined-- 45.865 0.003928817726426543
0.75 225.101 50.643 0.006810815558327074
0.76 220.087 52.446 0.008381787964069144
0.77 217.927 52.455 0.00839007908774012
0.78 216.002 51.489 0.007507015961714269
0.79 211.565 49.557 0.006009817274275689
0.80 203.080 46.189 0.0040783447364508025
0.81 197.153 40.946 0.0022301087117587775
0.82 --undefined-- 33.567 0.0009536125358017854
0.83 --undefined-- 25.574 0.00037995455648721194
0.84 --undefined-- 22.798 0.0002760134092864166
0.85 --undefined-- 21.937 0.0002499541684949074
0.86 --undefined-- 20.125 0.00020289322362973818
0.87 --undefined-- 18.242 0.00016334640025136076
0.88 --undefined-- 16.451 0.00013292135841220403
0.89 --undefined-- 14.916 0.00011139170156849834
0.90 --undefined-- 14.835 0.00011034790113918734
0.91 --undefined-- 15.619 0.00012077150202844991
0.92 --undefined-- 17.018 0.00014188501491887515
0.93 --undefined-- 27.487 0.0004735701636566722
0.94 --undefined-- 39.906 0.0019784496437797615
0.95 --undefined-- 47.458 0.004719965272285137
0.96 102.010 51.487 0.007505671688530927
0.97 100.470 53.199 0.009140362590604842
0.98 99.441 53.559 0.009527190370813461
0.99 98.249 53.232 0.009175862308982782
1.00 194.713 52.399 0.008336014252891778
1.01 193.954 50.579 0.0067607873293623645
1.02 194.289 46.921 0.004437094299737494
1.03 195.616 40.671 0.0021607122240873675
1.04 199.307 31.698 0.000769031010397398
1.05 --undefined-- 22.651 0.0002713717439101411
1.06 --undefined-- 18.446 0.00016723330942353942
1.07 --undefined-- 17.873 0.00015656104963643317
1.08 --undefined-- 18.518 0.00016863309812704903
1.09 --undefined-- 20.677 0.0002162075803435283
1.10 --undefined-- 22.195 0.00025749072131669233
1.11 --undefined-- 28.208 0.0005145569883076232
1.12 --undefined-- 38.992 0.0017808134400378259
1.13 --undefined-- 45.512 0.003772597031488349
1.14 --undefined-- 48.185 0.005131706452870782
1.15 --undefined-- 48.807 0.005512660919980522
1.16 190.904 48.839 0.005533524691163288
1.17 189.715 47.854 0.00494006888700133
1.18 189.147 45.210 0.003643742725720074
1.19 186.280 40.943 0.0022293250865584894
1.20 183.015 35.974 0.0012581868253979
1.21 --undefined-- 30.170 0.0006449848673715944
1.22 --undefined-- 22.645 0.0002711859864302516
1.23 --undefined-- 18.119 0.00016105984598950942
1.24 --undefined-- 17.903 0.00015710309540580404
1.25 --undefined-- 17.702 0.00015350651568004427
1.26 --undefined-- 17.514 0.0001502142832369688
1.27 --undefined-- 24.850 0.00034955318345459603
1.28 --undefined-- 34.847 0.0011050096886082892
1.29 --undefined-- 40.710 0.002170457110639634
1.30 --undefined-- 43.308 0.002926925209198599
1.31 --undefined-- 43.847 0.0031142904530663067
1.32 --undefined-- 43.279 0.0029174013019458165
1.33 --undefined-- 42.504 0.0026682495601077797
1.34 82.516 42.259 0.0025939735506472074
1.35 82.856 42.390 0.0026336240107991513
1.36 --undefined-- 42.008 0.00252014413586747
1.37 --undefined-- 41.372 0.0023422099207718785
1.38 --undefined-- 40.175 0.002040745369024936
1.39 --undefined-- 40.584 0.002139114681660089
1.40 --undefined-- 40.608 0.002144949903973099
1.41 --undefined-- 38.316 0.0016474409742487622
1.42 --undefined-- 35.425 0.001181101920491237
1.43 --undefined-- 31.335 0.0007375297723858495
1.44 --undefined-- 25.483 0.0003759962183869951
1.45 --undefined-- 21.508 0.00023792994812858615
1.46 --undefined-- 21.581 0.0002399199711189235
1.47 --undefined-- 21.209 0.0002298774569718698
1.48 --undefined-- 19.309 0.00018470892583665813
1.49 --undefined-- 18.708 0.00017235362949375753
1.50 --undefined-- 18.716 0.00017252259148811227
1.51 --undefined-- 18.878 0.0001757671536308503
1.52 --undefined-- 19.328 0.00018510676748353746
1.53 --undefined-- 18.816 0.00017451834441873493
1.54 --undefined-- 17.977 0.00015844446713929
1.55 --undefined-- 18.236 0.00016324911768494162
1.56 --undefined-- 18.792 0.00017403874893869917
1.57 --undefined-- 19.222 0.00018286230214770077
1.58 --undefined-- 18.916 0.0001765253919910132
1.59 --undefined-- 16.781 0.00013805606265292195
1.60 --undefined-- 14.434 0.0001053782721337959
1.61 --undefined-- 13.853 9.85547922653482e-005
1.62 --undefined-- 15.850 0.00012403389024273243
1.63 --undefined-- 29.261 0.0005808469774968329
1.64 --undefined-- 40.237 0.0020552900897896948
1.65 190.842 46.579 0.004265391644359998
1.66 185.176 49.593 0.006035238612235614
1.67 181.780 50.475 0.006680383791093863
1.68 181.221 49.772 0.0061606140344918165
1.69 180.236 47.053 0.00450493702149326
1.70 175.261 41.824 0.0024674141322563676
1.71 181.858 34.503 0.00106219055146268
1.72 --undefined-- 26.868 0.000441011704367631
1.73 --undefined-- 21.815 0.00024648442731442516
1.74 --undefined-- 20.644 0.00021539971915945818
1.75 --undefined-- 22.246 0.000259030955079616
1.76 --undefined-- 24.403 0.00033203135488732
1.77 --undefined-- 25.015 0.0003562532098967244
1.78 --undefined-- 31.490 0.0007508448112467504
1.79 --undefined-- 40.469 0.0021108709659813695
1.80 --undefined-- 45.558 0.0037925747931818726
1.81 97.672 47.210 0.004587006603786298
1.82 96.516 46.021 0.004000272900891543
1.83 91.333 42.351 0.0026216496003493356
1.84 88.755 36.485 0.0013343820973124286
1.85 --undefined-- 29.613 0.000604882167968144
1.86 --undefined-- 25.381 0.00037160628327443144
1.87 --undefined-- 24.570 0.00033847628352533195
1.88 --undefined-- 23.875 0.0003124381003771402
1.89 --undefined-- 22.441 0.0002648976706450165
1.90 --undefined-- 20.731 0.0002175507139080805
1.91 --undefined-- 18.365 0.00016568222476153648
1.92 --undefined-- 15.229 0.00011546928523682204
1.93 --undefined-- 15.165 0.00011462480990123964
1.94 --undefined-- 20.723 0.00021736181530845634
1.95 --undefined-- 29.838 0.0006208040637572195
1.96 --undefined-- 40.589 0.0021402989599058975
1.97 --undefined-- 47.390 0.004683123262924863
1.98 --undefined-- 50.702 0.006857144583063607
1.99 187.546 51.748 0.007734336559966627
2.00 185.894 51.706 0.0076974461076630245
2.01 184.749 51.271 0.0073210744003113755
2.02 184.114 50.823 0.006952784518386882
2.03 184.527 50.571 0.006754421085335594
2.04 184.004 50.454 0.006663897960972657
2.05 183.408 50.389 0.006614001140662365
2.06 183.026 50.344 0.006580174228679537
2.07 181.809 50.299 0.006546280839035092
2.08 180.436 50.237 0.0064995255316471785
2.09 179.720 50.201 0.006472304079265459
2.10 178.574 50.251 0.0065099485350713256
2.11 175.706 50.363 0.00659466046617424
2.12 173.271 50.473 0.006678230075905066
2.13 171.644 50.593 0.0067717903653931495
2.14 170.646 50.823 0.006953307722797584
2.15 170.806 50.942 0.007049159807311224
2.16 171.670 50.601 0.006777372140438045
2.17 173.698 49.926 0.0062709488410809386
2.18 175.393 49.382 0.005890249681208915
2.19 175.387 48.981 0.005624696399118038
2.20 173.819 47.886 0.0049583551347588874
