Here are the results for Channel 1 (nasal): time - pitch(Hz) - Amplitude(dB) - RMSqIntensity(Pa)
0.01 --undefined-- --undefined-- --undefined--
0.02 --undefined-- --undefined-- --undefined--
0.03 --undefined-- --undefined-- --undefined--
0.04 --undefined-- --undefined-- --undefined--
0.05 --undefined-- 17.858 0.00015629039799844747
0.06 --undefined-- 18.480 0.00016789283331010047
0.07 --undefined-- 17.704 0.0001535369846003017
0.08 --undefined-- 19.789 0.00019518911252104288
0.09 --undefined-- 25.007 0.0003559388224598079
0.10 279.268 27.907 0.0004970049220143645
0.11 276.064 26.870 0.00044109206380254834
0.12 --undefined-- 21.858 0.00024769434958254045
0.13 --undefined-- 16.220 0.00012942854042961686
0.14 --undefined-- 15.027 0.00011281948964257822
0.15 --undefined-- 14.343 0.00010427985060429519
0.16 --undefined-- 14.168 0.00010218944666685307
0.17 --undefined-- 14.377 0.00010468829792350085
0.18 --undefined-- 14.862 0.00011069849665039194
0.19 --undefined-- 15.080 0.00011351326663811963
0.20 --undefined-- 14.517 0.00010638593737087216
0.21 --undefined-- 13.745 9.733241501374682e-005
0.22 --undefined-- 13.736 9.723362529366655e-005
0.23 --undefined-- 13.882 9.888065398838922e-005
0.24 --undefined-- 13.399 9.353435116891951e-005
0.25 --undefined-- 13.324 9.272698143186909e-005
0.26 --undefined-- 13.717 9.702707627017594e-005
0.27 --undefined-- 13.692 9.67409543198501e-005
0.28 --undefined-- 14.250 0.00010315965531960063
0.29 --undefined-- 15.168 0.00011466537557627864
0.30 --undefined-- 15.463 0.00011862783924468906
0.31 --undefined-- 15.445 0.00011838589917407942
0.32 --undefined-- 15.849 0.00012402311032096427
0.33 --undefined-- 18.402 0.00016639528382848603
0.34 --undefined-- 24.567 0.00033837843026862056
0.35 210.033 32.794 0.0008724013066060401
0.36 214.835 41.011 0.0022469272462849288
0.37 220.181 46.726 0.0043384566635442075
0.38 208.943 49.606 0.006043844957868715
0.39 207.016 50.459 0.00666807257650634
0.40 208.237 50.155 0.006438479052651617
0.41 207.836 48.553 0.005353806123193662
0.42 203.820 44.743 0.0034530167913803572
0.43 202.919 38.078 0.0016029482352300538
0.44 --undefined-- 29.145 0.000573146169662886
0.45 --undefined-- 21.347 0.00023354703196034338
0.46 --undefined-- 19.369 0.00018598908345277896
0.47 --undefined-- 21.789 0.0002457532571055051
0.48 --undefined-- 25.011 0.00035611513578623496
0.49 --undefined-- 29.165 0.0005745018861855353
0.50 --undefined-- 38.870 0.0017559536142679438
0.51 --undefined-- 46.566 0.0042592537484941176
0.52 --undefined-- 50.428 0.0066441871748135085
0.53 201.997 51.440 0.0074648835539347655
0.54 201.878 50.665 0.00682762263155922
0.55 202.223 48.516 0.005331062383775113
0.56 202.377 44.361 0.0033043806423616448
0.57 218.069 37.512 0.0015018938414609359
0.58 --undefined-- 28.567 0.0005362430597216626
0.59 --undefined-- 20.571 0.00021359723660818654
0.60 --undefined-- 16.468 0.00013318335377807375
0.61 --undefined-- 14.756 0.00010935244941128842
0.62 --undefined-- 21.982 0.0002512573311341246
0.63 --undefined-- 31.619 0.000762013351327591
0.64 --undefined-- 41.562 0.002394159957311099
0.65 --undefined-- 48.187 0.005133118101954811
0.66 --undefined-- 51.409 0.007438736229662059
0.67 --undefined-- 52.346 0.008285649960937789
0.68 --undefined-- 51.926 0.0078946219798474
0.69 194.809 50.255 0.006512666472121722
0.70 194.402 46.864 0.004407655749754846
0.71 179.835 41.168 0.0022877562058781532
0.72 --undefined-- 32.935 0.0008866860921843139
0.73 --undefined-- 24.592 0.0003393515774538085
0.74 --undefined-- 21.803 0.00024614740517297563
0.75 --undefined-- 21.380 0.00023445088954129707
0.76 --undefined-- 21.555 0.00023921395052411162
0.77 --undefined-- 21.231 0.0002304403434398896
0.78 --undefined-- 23.317 0.0002930182222783205
0.79 --undefined-- 25.442 0.0003742152725560135
0.80 --undefined-- 24.138 0.00032207289377453096
0.81 --undefined-- 19.672 0.00019258617483399498
0.82 --undefined-- 20.540 0.00021283742171371544
0.83 --undefined-- 29.586 0.0006030126101524594
0.84 --undefined-- 41.013 0.0022473075879832147
0.85 --undefined-- 49.271 0.005815326379884107
0.86 194.501 53.737 0.009724362129160462
0.87 196.999 55.298 0.01163899419641717
0.88 194.311 54.916 0.011138550702275464
0.89 190.436 53.729 0.009716265726870017
0.90 187.856 52.681 0.008611449502041887
0.91 186.138 51.351 0.007389291173818472
0.92 182.425 48.461 0.005297401524607366
0.93 175.690 42.931 0.0028026275761337824
0.94 182.213 34.228 0.0010290373469978597
0.95 --undefined-- 24.898 0.0003514910375343208
0.96 --undefined-- 21.874 0.00024814893997622154
0.97 --undefined-- 21.826 0.0002468048555253492
0.98 --undefined-- 20.994 0.00022423657489357223
0.99 --undefined-- 19.260 0.00018366805770869484
1.00 --undefined-- 19.427 0.00018722662511745796
1.01 --undefined-- 22.343 0.0002619203598325233
1.02 --undefined-- 29.972 0.000630454153985339
1.03 --undefined-- 40.330 0.0020773835528318184
1.04 --undefined-- 47.010 0.004482576615171379
1.05 191.176 50.174 0.0064525781432155874
1.06 181.629 50.622 0.0067940433114308295
1.07 177.557 49.244 0.005797388550711468
1.08 174.904 46.763 0.004357063598208391
1.09 173.171 43.342 0.0029386306936817178
1.10 171.802 38.941 0.0017705332420587137
1.11 171.021 33.697 0.0009679689453595702
1.12 --undefined-- 28.043 0.0005048524714171323
1.13 --undefined-- 23.339 0.00029375815453693314
1.14 --undefined-- 20.213 0.0002049654650421199
1.15 --undefined-- 17.307 0.00014668297273819124
1.16 --undefined-- 14.981 0.00011222090152768297
1.17 --undefined-- 14.857 0.00011063781630804391
1.18 --undefined-- 23.590 0.0003023630103209974
1.19 --undefined-- 35.414 0.0011795729329159494
1.20 --undefined-- 42.318 0.0026118202521372
1.21 --undefined-- 45.110 0.003602006877939015
1.22 80.106 45.145 0.00361633982649345
1.23 82.109 44.201 0.0032441484850241707
1.24 --undefined-- 43.487 0.0029880890962998515
1.25 --undefined-- 43.695 0.0030603864088884197
1.26 --undefined-- 43.809 0.0031008672090085078
1.27 --undefined-- 43.620 0.0030340008638669543
1.28 --undefined-- 43.410 0.002961686181644772
1.29 77.898 42.974 0.0028166415727984098
1.30 177.352 41.924 0.00249580961168902
1.31 176.030 39.911 0.0019795996894976585
1.32 171.473 36.598 0.001351915116892243
1.33 159.248 31.834 0.00078113017345365075
1.34 --undefined-- 25.707 0.00038581193425046427
1.35 --undefined-- 19.960 0.00019908328893457106
1.36 --undefined-- 17.588 0.00015150647553645294
1.37 --undefined-- 16.698 0.00013674719032314223
1.38 --undefined-- 16.386 0.00013192283039784375
1.39 --undefined-- 15.885 0.00012452526770328842
1.40 --undefined-- 15.091 0.0001136514826835412
1.41 --undefined-- 15.038 0.0001129675765122509
1.42 --undefined-- 15.419 0.00011802017728663849
1.43 --undefined-- 15.855 0.0001240980111433561
1.44 --undefined-- 16.331 0.00013109911422178383
1.45 --undefined-- 16.832 0.00013887838085121823
1.46 --undefined-- 17.421 0.0001486203486534883
1.47 --undefined-- 18.683 0.0001718663883953589
1.48 --undefined-- 19.978 0.00019950246632051774
1.49 --undefined-- 20.146 0.00020339969867869565
1.50 --undefined-- 18.738 0.00017294952175093509
1.51 --undefined-- 16.714 0.00013701070844836612
1.52 --undefined-- 16.047 0.00012687748083217506
1.53 --undefined-- 14.660 0.00010814903274331354
1.54 --undefined-- 12.575 8.507072295087405e-005
1.55 --undefined-- 13.162 9.10152146915973e-005
1.56 --undefined-- 13.801 9.797079267501317e-005
1.57 --undefined-- 13.635 9.611689925262863e-005
1.58 --undefined-- 14.636 0.00010785580095096055
1.59 --undefined-- 28.413 0.0005268358771104782
1.60 --undefined-- 41.572 0.0023966974092864504
1.61 --undefined-- 49.090 0.005695620287988853
1.62 191.743 52.261 0.00820511530121623
1.63 185.079 51.890 0.007862097064686487
1.64 182.406 48.694 0.005441894102997782
1.65 178.814 43.550 0.003009629499952776
1.66 175.272 37.526 0.0015042919421785414
1.67 --undefined-- 31.263 0.0007314401593700185
1.68 --undefined-- 24.799 0.0003475351909739924
1.69 --undefined-- 23.101 0.0002858278564855614
1.70 --undefined-- 23.785 0.0003092182646438677
1.71 --undefined-- 28.601 0.0005383533116086115
1.72 --undefined-- 38.844 0.0017508247654865674
1.73 --undefined-- 45.497 0.0037660353201417664
1.74 191.340 48.589 0.005376130278621889
1.75 185.145 49.338 0.005860659017095871
1.76 185.590 48.705 0.005448848242653402
1.77 186.685 46.454 0.004204519757027477
1.78 185.827 41.967 0.00250821179101603
1.79 175.000 35.706 0.0012199340197164225
1.80 --undefined-- 29.978 0.0006308347019801458
1.81 --undefined-- 26.895 0.0004423581389469469
1.82 --undefined-- 25.495 0.00037650114725722286
1.83 --undefined-- 24.054 0.00031894568492146406
1.84 --undefined-- 22.978 0.00028178937366366697
1.85 --undefined-- 21.726 0.00024395686548801137
1.86 --undefined-- 19.271 0.0001838918143769216
1.87 --undefined-- 16.524 0.00013403733222602053
1.88 --undefined-- 15.786 0.00012312712247937926
1.89 --undefined-- 18.747 0.0001731338609262482
1.90 --undefined-- 23.552 0.00030105521658603377
1.91 --undefined-- 31.434 0.0007459465459604079
1.92 --undefined-- 41.133 0.0022786278806006203
1.93 209.052 47.280 0.00462417388590074
1.94 195.470 50.224 0.0064900987103547
1.95 189.041 50.980 0.007079957146488565
1.96 186.292 50.721 0.006872300433529772
1.97 184.230 50.367 0.006597471438089595
1.98 183.034 50.181 0.006457621436968837
1.99 183.012 50.099 0.006397092454294991
2.00 182.859 50.023 0.0063410896143225115
2.01 182.935 49.958 0.00629409337794466
2.02 183.272 49.945 0.006284990547117179
2.03 182.893 49.914 0.006262533157894282
2.04 182.625 49.878 0.006236004261233196
2.05 182.204 49.908 0.00625773689426182
2.06 182.092 50.033 0.00634863702998793
2.07 182.001 50.313 0.006556937716263114
2.08 182.304 50.802 0.006936727780342042
2.09 182.405 51.452 0.007474940457193101
2.10 182.090 52.027 0.007986809234811454
2.11 181.042 52.150 0.008101233864053136
2.12 179.938 51.789 0.007770899383321013
2.13 179.271 51.299 0.007344687315657352
2.14 178.645 50.994 0.007091638308770536
2.15 178.760 50.908 0.0070216486897649285
2.16 178.952 51.051 0.007137984553597282
2.17 178.410 51.476 0.0074961088591411675
2.18 177.508 51.736 0.007724022197596239
2.19 175.594 50.766 0.006907558192813533
2.20 172.607 47.593 0.004793808445394458
