Here are the results for Channel 1 (nasal): time - pitch(Hz) - Amplitude(dB) - RMSqIntensity(Pa)
0.01 --undefined-- --undefined-- --undefined--
0.02 --undefined-- --undefined-- --undefined--
0.03 --undefined-- --undefined-- --undefined--
0.04 --undefined-- --undefined-- --undefined--
0.05 --undefined-- -4.804 1.1502965960275846e-005
0.06 --undefined-- -4.309 1.21774725652261e-005
0.07 --undefined-- -3.765 1.2965514530257473e-005
0.08 --undefined-- -3.604 1.320823567420117e-005
0.09 --undefined-- -3.117 1.3968785161177132e-005
0.10 --undefined-- -1.975 1.5932299572602635e-005
0.11 --undefined-- -1.090 1.76418357918807e-005
0.12 --undefined-- -0.428 1.9039434719256227e-005
0.13 --undefined-- 1.120 2.2752662174766295e-005
0.14 --undefined-- 2.049 2.531963182403023e-005
0.15 --undefined-- 1.383 2.3450984212323946e-005
0.16 --undefined-- -0.094 1.9783892134935117e-005
0.17 --undefined-- -0.685 1.8484205318238856e-005
0.18 --undefined-- -0.646 1.8566487650887097e-005
0.19 --undefined-- -1.982 1.5918833090585238e-005
0.20 --undefined-- -5.262 1.0913142771211207e-005
0.21 --undefined-- -9.030 7.071681320733663e-006
0.22 --undefined-- -9.895 6.401424503359921e-006
0.23 --undefined-- -10.285 6.120326823724489e-006
0.24 --undefined-- -10.717 5.823497883310443e-006
0.25 --undefined-- -9.271 6.878304837834897e-006
0.26 --undefined-- -8.001 7.960881358306919e-006
0.27 --undefined-- -8.280 7.70998930284851e-006
0.28 --undefined-- -9.544 6.665535295456657e-006
0.29 --undefined-- -9.197 6.937398784885289e-006
0.30 --undefined-- -6.539 9.420127998043623e-006
0.31 --undefined-- -4.228 1.2291663899341696e-005
0.32 --undefined-- -2.262 1.54152996828475e-005
0.33 --undefined-- -0.380 1.914384251374474e-005
0.34 --undefined-- 0.637 2.152076936549858e-005
0.35 --undefined-- 0.461 2.1090380606402074e-005
0.36 --undefined-- 1.125 2.276560267632014e-005
0.37 --undefined-- 7.228 4.5964878861031885e-005
0.38 --undefined-- 18.756 0.0001733146871541904
0.39 208.187 28.052 0.0005053881231930564
0.40 215.538 33.374 0.0009327228733134249
0.41 203.457 35.331 0.0011683057136209715
0.42 191.834 35.222 0.0011538623703517834
0.43 192.850 34.411 0.0010509172215142166
0.44 192.834 32.580 0.0008512136806479859
0.45 187.496 29.671 0.0006089210703868374
0.46 185.351 27.944 0.0004991465901852361
0.47 181.613 27.594 0.00047942270486673564
0.48 179.702 27.625 0.00048115427503641933
0.49 179.995 28.229 0.0005158240454422448
0.50 181.346 29.574 0.0006021950218334884
0.51 181.840 31.786 0.0007768654231179987
0.52 181.299 34.935 0.0011162799661088383
0.53 191.037 37.552 0.0015088420127208498
0.54 191.579 38.978 0.001778001965571716
0.55 192.985 39.667 0.001924879524965424
0.56 192.125 39.830 0.0019613316184637244
0.57 191.371 39.552 0.001899436432524069
0.58 195.468 38.830 0.001747961294553501
0.59 198.377 37.417 0.0014855723803645872
0.60 195.452 35.737 0.0012242724053527802
0.61 194.983 34.773 0.0010956817925576263
0.62 194.115 34.593 0.0010731825220371201
0.63 193.159 34.881 0.0011093406240448623
0.64 191.748 35.516 0.0011935341301988693
0.65 189.201 36.482 0.0013339826037514647
0.66 187.368 37.763 0.001545946085911634
0.67 190.802 38.719 0.0017257105925480856
0.68 189.812 38.920 0.001766178467863612
0.69 187.767 38.817 0.0017452696027127608
0.70 186.312 38.719 0.0017258379973848765
0.71 186.494 38.564 0.001695211044409436
0.72 187.300 38.660 0.001714035573406806
0.73 184.370 39.220 0.0018282691642221122
0.74 182.918 39.624 0.0019151869616448579
0.75 181.593 39.696 0.0019311564900989888
0.76 180.200 39.561 0.0019014964294138959
0.77 179.088 39.131 0.0018095507421926939
0.78 178.061 38.234 0.0016320412845808306
0.79 176.676 36.702 0.0013682030108950506
0.80 175.920 34.421 0.001052203114877162
0.81 175.892 31.324 0.0007365607307955507
0.82 175.692 27.405 0.00046909285818410483
0.83 174.877 22.668 0.000271920931836039
0.84 174.452 16.804 0.00013842741185821696
0.85 --undefined-- 9.041 5.6635558800108374e-005
0.86 --undefined-- -1.329 1.7163123825828448e-005
0.87 --undefined-- -9.338 6.825351080703855e-006
0.88 --undefined-- -8.599 7.431491952070098e-006
0.89 --undefined-- -4.719 1.1616448001410616e-005
0.90 --undefined-- -3.040 1.4093618479382373e-005
0.91 --undefined-- -4.185 1.2353520452618453e-005
0.92 --undefined-- -4.751 1.1573353560853249e-005
0.93 --undefined-- -1.008 1.780922213833196e-005
0.94 --undefined-- 6.471 4.2127635713027756e-005
0.95 --undefined-- 17.959 0.00015811974650959586
0.96 223.071 25.741 0.0003873083866639528
0.97 206.574 29.630 0.0006061057386082913
0.98 189.663 31.076 0.00071583943115718
0.99 182.526 31.851 0.0007826357894106526
1.00 177.838 32.598 0.0008529479034646812
1.01 173.749 33.316 0.0009265174959573796
1.02 170.438 34.406 0.001050312669204809
1.03 171.466 35.497 0.0011908799369555168
1.04 172.109 36.028 0.0012660609413338646
1.05 171.847 36.182 0.0012886861322649668
1.06 170.277 36.231 0.0012958935245420047
1.07 168.753 36.170 0.0012868029637130181
1.08 167.882 35.801 0.0012332862423354689
1.09 167.367 34.959 0.0011194325670066607
1.10 167.297 33.936 0.0009949908669415796
1.11 167.768 33.124 0.0009062388777210547
1.12 167.835 32.455 0.0008390777131747726
1.13 167.147 31.778 0.0007761153725557139
1.14 166.950 31.192 0.0007254493739346078
1.15 167.039 30.944 0.00070509351717899555
1.16 166.059 31.095 0.0007174292297057951
1.17 164.547 31.582 0.0007587669022085094
1.18 161.427 32.694 0.0008623988892567608
1.19 160.973 34.491 0.0010606126118488733
1.20 163.211 35.967 0.0012571470409903495
1.21 162.855 36.654 0.001360633441692925
1.22 160.824 36.861 0.0013933718440647853
1.23 159.404 36.872 0.0013951753780137334
1.24 159.038 36.809 0.001385118716163911
1.25 160.863 36.451 0.001329196326132437
1.26 163.547 35.392 0.0011766209325467937
1.27 162.298 33.940 0.0009954500906656433
1.28 161.692 33.198 0.0009139793836332129
1.29 161.604 33.454 0.0009412820443812215
1.30 159.888 34.671 0.0010828826813963509
1.31 161.520 36.374 0.001317375935325076
1.32 163.741 37.319 0.001468797466994494
1.33 164.062 37.202 0.0014492071873087524
1.34 163.718 36.410 0.001322889157916447
1.35 161.985 35.173 0.0011472552621517261
1.36 159.951 33.314 0.0009262362156573544
1.37 156.512 30.442 0.0006654349175320823
1.38 152.154 26.158 0.0004063660708349557
1.39 147.783 20.144 0.0002033354915193175
1.40 --undefined-- 12.621 8.55182964313725e-005
1.41 --undefined-- 5.086 3.5918443391080474e-005
1.42 --undefined-- 1.248 2.3090122286674084e-005
1.43 --undefined-- 6.727 4.3388553759486866e-005
1.44 --undefined-- 11.598 7.602472112771579e-005
1.45 --undefined-- 13.441 9.399184644556375e-005
1.46 --undefined-- 13.553 9.521481474824207e-005
1.47 78.199 14.236 0.00010300270959734703
1.48 78.429 16.944 0.0001406784310019751
1.49 79.597 19.822 0.00019594647776961625
1.50 --undefined-- 21.910 0.00024919702469036465
1.51 151.286 23.584 0.0003021491939912515
1.52 149.335 24.623 0.0003405571639925951
1.53 147.509 25.033 0.0003570257023284164
1.54 --undefined-- 24.931 0.00035286184763633763
1.55 --undefined-- 24.439 0.00033340442516971935
1.56 243.367 24.653 0.0003417413690954174
1.57 247.778 24.854 0.0003497080020529691
1.58 250.758 24.124 0.00032154355370445537
1.59 251.526 24.049 0.00031877509759621625
1.60 245.022 24.011 0.00031739161438121977
1.61 246.912 23.767 0.00030857317502866254
1.62 244.472 23.242 0.000290497874639122
1.63 247.140 22.920 0.00027990954259508535
1.64 241.135 22.768 0.00027507339120192375
1.65 --undefined-- 22.831 0.00027707455552317665
1.66 --undefined-- 24.076 0.0003197516100905923
1.67 84.155 25.855 0.00039245822974274635
1.68 85.029 26.793 0.0004371980499095938
1.69 86.277 27.108 0.0004533399087819795
1.70 86.844 27.035 0.00044953922527357794
1.71 87.340 26.742 0.00043464043270281853
1.72 176.053 26.479 0.00042166372186055827
1.73 177.767 26.212 0.0004088899750203976
1.74 177.797 25.682 0.00038471675602399943
1.75 179.146 24.461 0.0003342714193274439
1.76 174.625 21.799 0.0002460296174226676
1.77 170.349 17.322 0.00014693473435068807
1.78 --undefined-- 11.439 7.463733065535523e-005
1.79 --undefined-- 5.690 3.850418522204374e-005
1.80 --undefined-- 3.172 2.881602042700026e-005
1.81 --undefined-- 3.999 3.169280195644088e-005
1.82 --undefined-- 5.519 3.7754287581954864e-005
1.83 --undefined-- 6.336 4.148070905470897e-005
1.84 --undefined-- 7.937 4.9873143800218506e-005
1.85 --undefined-- 10.529 6.721665327643523e-005
1.86 --undefined-- 11.373 7.40761468781309e-005
1.87 --undefined-- 9.415 5.9125040396423024e-005
1.88 --undefined-- 5.601 3.8111830836428554e-005
1.89 --undefined-- 3.832 3.109176285971103e-005
1.90 --undefined-- 4.048 3.18750268124495e-005
1.91 --undefined-- 4.690 3.431842596108677e-005
1.92 --undefined-- 4.890 3.511696541859935e-005
1.93 --undefined-- 4.853 3.496893123705832e-005
1.94 --undefined-- 5.653 3.834229494490526e-005
1.95 --undefined-- 5.177 3.6298960640501354e-005
1.96 --undefined-- 2.992 2.8226317231198213e-005
1.97 --undefined-- 1.888 2.48548698562872e-005
1.98 --undefined-- 1.619 2.4097931987691455e-005
1.99 --undefined-- -0.596 1.8674027226812826e-005
2.00 --undefined-- -4.318 1.2165448841716032e-005
2.01 --undefined-- -6.983 8.95152190873125e-006
2.02 --undefined-- -7.384 8.54719089529699e-006
2.03 --undefined-- -7.048 8.884628060311713e-006
2.04 --undefined-- -6.941 8.994120339175522e-006
2.05 --undefined-- -7.387 8.544719905421412e-006
2.06 --undefined-- -8.862 7.209835595930715e-006
2.07 --undefined-- -9.643 6.590152860505256e-006
2.08 --undefined-- -9.458 6.732018035326833e-006
2.09 --undefined-- -9.871 6.419446357219346e-006
2.10 --undefined-- -10.000 6.324348220136226e-006
2.11 --undefined-- -9.099 7.015501605523854e-006
2.12 --undefined-- -8.079 7.890006343810997e-006
2.13 --undefined-- -8.442 7.567071440078916e-006
2.14 --undefined-- -9.412 6.7675692582340906e-006
2.15 --undefined-- --undefined-- --undefined--
2.16 --undefined-- --undefined-- --undefined--
2.17 --undefined-- --undefined-- --undefined--
2.18 --undefined-- --undefined-- --undefined--
