Here are the results for Channel 1 (nasal): time - pitch(Hz) - Amplitude(dB) - RMSqIntensity(Pa)
0.01 --undefined-- --undefined-- --undefined--
0.02 --undefined-- --undefined-- --undefined--
0.03 --undefined-- --undefined-- --undefined--
0.04 --undefined-- --undefined-- --undefined--
0.05 --undefined-- 1.646 2.417340321458681e-005
0.06 --undefined-- 1.992 2.515660749779606e-005
0.07 --undefined-- 3.271 2.914549432194514e-005
0.08 --undefined-- 3.275 2.9159306408681214e-005
0.09 --undefined-- 2.324 2.6136653707285902e-005
0.10 --undefined-- 1.462 2.366644672458743e-005
0.11 --undefined-- 2.554 2.6836213130761736e-005
0.12 --undefined-- 4.226 3.253434500983781e-005
0.13 --undefined-- 5.298 3.680760347556864e-005
0.14 --undefined-- 6.014 3.996940130663757e-005
0.15 --undefined-- 5.444 3.7430136440765444e-005
0.16 --undefined-- 3.513 2.9968103656165084e-005
0.17 --undefined-- 3.531 3.003326713334723e-005
0.18 --undefined-- 6.557 4.254632100267434e-005
0.19 --undefined-- 8.479 5.308426412523281e-005
0.20 --undefined-- 8.193 5.136401933831085e-005
0.21 --undefined-- 6.158 4.0639462890778755e-005
0.22 --undefined-- 3.893 3.130970200178939e-005
0.23 --undefined-- 3.241 2.9047056685595083e-005
0.24 --undefined-- 3.605 3.0287017938752497e-005
0.25 --undefined-- 4.324 3.290207487069025e-005
0.26 --undefined-- 5.041 3.573323321798574e-005
0.27 --undefined-- 4.594 3.394169250383173e-005
0.28 --undefined-- 4.381 3.3118628603398714e-005
0.29 --undefined-- 4.483 3.3509193086202254e-005
0.30 --undefined-- 3.349 2.9409944027109626e-005
0.31 --undefined-- 2.045 2.530826013036751e-005
0.32 --undefined-- 1.611 2.407646309438296e-005
0.33 --undefined-- 1.927 2.496793262357336e-005
0.34 --undefined-- 1.667 2.4230404886562296e-005
0.35 --undefined-- -0.694 1.8464063705557883e-005
0.36 --undefined-- -4.464 1.1962520642482067e-005
0.37 --undefined-- -7.137 8.794266003946516e-006
0.38 --undefined-- -6.334 9.64582230436646e-006
0.39 --undefined-- -4.610 1.176395275124892e-005
0.40 --undefined-- -3.494 1.3375934685650961e-005
0.41 --undefined-- 5.210 3.6437247951313504e-005
0.42 --undefined-- 20.991 0.00022417435897518386
0.43 244.448 31.088 0.0007168810772594527
0.44 255.981 36.205 0.001292110699377401
0.45 258.429 38.098 0.0016066625453940424
0.46 269.230 38.708 0.0017234884057359414
0.47 273.275 37.748 0.0015432356352221397
0.48 92.772 35.656 0.0012128639353850006
0.49 83.463 35.681 0.0012163692366458563
0.50 84.502 36.574 0.0013481923336940674
0.51 86.165 37.401 0.001482863278906668
0.52 87.908 37.748 0.0015432329202864313
0.53 88.671 36.925 0.001403659161523803
0.54 89.658 34.762 0.0010943405554887655
0.55 89.914 32.288 0.0008230683850479402
0.56 179.882 30.882 0.0007000256883189622
0.57 181.771 30.493 0.0006693858013224372
0.58 184.992 30.815 0.0006947122875789683
0.59 187.954 31.777 0.0007760057023718714
0.60 189.374 32.980 0.0008912962729554357
0.61 189.402 34.258 0.0010326314318431385
0.62 188.415 35.420 0.0011804508793632807
0.63 187.436 36.161 0.001285477118601256
0.64 185.308 36.413 0.0013233422740429488
0.65 184.400 36.344 0.001312929717396173
0.66 185.477 36.135 0.001281707757722543
0.67 187.851 35.917 0.001249926861617431
0.68 189.372 35.749 0.0012259719508548527
0.69 190.072 35.647 0.0012115929107695618
0.70 190.658 35.577 0.0012018914120113917
0.71 190.932 35.409 0.0011789599711153499
0.72 188.539 35.199 0.0011507664833813615
0.73 186.644 35.021 0.001127465602294745
0.74 192.449 34.004 0.0010028805726336033
0.75 191.895 31.466 0.0007487797741580075
0.76 195.732 27.636 0.000481731675919599
0.77 196.686 22.946 0.0002807528513300744
0.78 219.190 20.551 0.00021308975624510565
0.79 215.350 21.741 0.0002443907253480526
0.80 203.871 21.870 0.0002480391270006819
0.81 199.941 21.222 0.00023020630698119675
0.82 196.664 20.728 0.0002174890862944772
0.83 191.596 20.501 0.00021187191149882266
0.84 189.078 20.803 0.00021936597624582505
0.85 188.771 21.372 0.00023422242874319358
0.86 188.098 21.605 0.0002405996696909669
0.87 187.207 21.307 0.0002324768526338497
0.88 187.297 20.504 0.00021193785695628823
0.89 188.010 19.484 0.00018846524049568675
0.90 188.138 18.779 0.00017376681777006662
0.91 188.139 18.628 0.00017078618786195464
0.92 188.527 18.837 0.00017492831593642842
0.93 189.316 19.220 0.0001828182605510853
0.94 188.277 19.679 0.00019274559824029533
0.95 186.908 19.816 0.00019581411550127542
0.96 186.427 19.136 0.00018106908086733104
0.97 184.953 17.732 0.00015403173483401965
0.98 181.720 16.652 0.0001360260529676837
0.99 180.564 16.487 0.0001334645339113953
1.00 178.281 16.172 0.00012872046274446902
1.01 176.674 15.139 0.00011428722324115488
1.02 --undefined-- 12.885 8.815972906955426e-005
1.03 --undefined-- 8.480 5.309087028980286e-005
1.04 --undefined-- 1.278 2.316957277497821e-005
1.05 --undefined-- -6.019 1.0002270704321494e-005
1.06 --undefined-- -3.219 1.3806153343425204e-005
1.07 --undefined-- 4.536 3.371533846553349e-005
1.08 --undefined-- 16.820 0.0001386795641651842
1.09 265.569 26.250 0.0004106892163531156
1.10 276.845 32.064 0.0008021066268029343
1.11 89.556 35.227 0.0011545269648785973
1.12 89.245 36.808 0.0013848681905902472
1.13 89.004 37.475 0.0014955487622018997
1.14 89.108 37.407 0.0014838974447342393
1.15 90.061 36.786 0.0013814897300764687
1.16 91.173 36.203 0.0012917796133289925
1.17 182.972 35.928 0.0012515107939430877
1.18 183.443 35.743 0.0012251642416846655
1.19 184.771 35.570 0.0012009432760933842
1.20 186.801 35.413 0.0011794374926681996
1.21 189.439 35.232 0.001155073547701568
1.22 192.234 34.990 0.0011234361307021676
1.23 194.457 34.681 0.0010841845834951252
1.24 195.529 34.412 0.0010511075228307497
1.25 197.244 34.522 0.0010645046952439527
1.26 197.828 35.835 0.0012381958762920212
1.27 207.439 37.603 0.0015177142577674553
1.28 209.989 37.723 0.0015387911586609779
1.29 207.906 35.255 0.0011582196593314426
1.30 201.722 29.846 0.0006213125908012026
1.31 --undefined-- 21.249 0.00023093900857743015
1.32 --undefined-- 9.920 6.266842767163479e-005
1.33 --undefined-- 1.681 2.4271170050763833e-005
1.34 --undefined-- -3.012 1.4138669291435142e-005
1.35 --undefined-- -7.299 8.631332992437309e-006
1.36 --undefined-- -8.015 7.948342282872858e-006
1.37 --undefined-- -6.498 9.465528667036126e-006
1.38 --undefined-- -5.624 1.0466729064014773e-005
1.39 --undefined-- 2.247 2.5903879036670577e-005
1.40 --undefined-- 10.612 6.786242047427121e-005
1.41 --undefined-- 15.262 0.00011590967922386115
1.42 95.314 17.270 0.0001460607403762072
1.43 92.763 17.994 0.00015876313637054566
1.44 89.985 18.397 0.00016629603395135293
1.45 --undefined-- 18.611 0.00017043832350507597
1.46 177.662 18.618 0.00017057805154273184
1.47 178.210 18.799 0.00017416316303774947
1.48 177.798 19.270 0.00018387745879964442
1.49 175.281 19.544 0.0001897781970136056
1.50 171.215 19.428 0.00018724493086594562
1.51 169.082 19.119 0.0001807163741143771
1.52 167.570 18.357 0.00016553546537784728
1.53 165.278 16.753 0.00013761718080906185
1.54 --undefined-- 14.431 0.00010533779132356954
1.55 --undefined-- 11.079 7.161452339438898e-005
1.56 --undefined-- 5.636 3.826872849995956e-005
1.57 --undefined-- -1.658 1.652459797844115e-005
1.58 --undefined-- -2.160 1.559740707803013e-005
1.59 --undefined-- -0.318 1.9280966776154515e-005
1.60 --undefined-- -1.574 1.6686018925632473e-005
1.61 --undefined-- -5.032 1.12053756891681e-005
1.62 --undefined-- -7.693 8.248537468316558e-006
1.63 --undefined-- -7.823 8.125652459752843e-006
1.64 --undefined-- -2.330 1.52938735067094e-005
1.65 --undefined-- 4.802 3.476597760894308e-005
1.66 --undefined-- 8.598 5.382107599199517e-005
1.67 --undefined-- 9.737 6.13591917841849e-005
1.68 --undefined-- 10.004 6.327456877290195e-005
1.69 --undefined-- 10.363 6.594128193862499e-005
1.70 --undefined-- 10.523 6.71718737520061e-005
1.71 --undefined-- 10.594 6.772061290191114e-005
1.72 --undefined-- 10.673 6.833902857611071e-005
1.73 --undefined-- 10.754 6.898169327403376e-005
1.74 --undefined-- 11.013 7.106689231771318e-005
1.75 82.617 11.382 7.41500394525746e-005
1.76 82.484 11.683 7.677060100566928e-005
1.77 82.328 12.066 8.023191835164989e-005
1.78 82.237 12.702 8.63254379685416e-005
1.79 82.678 13.402 9.357271840730866e-005
1.80 82.208 13.915 9.925679764212973e-005
1.81 82.001 14.175 0.00010227900328373356
1.82 81.906 14.204 0.00010262453218046892
1.83 82.125 14.213 0.0001027210238038015
1.84 82.529 14.266 0.0001033582153563435
1.85 82.317 14.245 0.00010310204428781218
1.86 --undefined-- 14.033 0.00010062068416194226
1.87 --undefined-- 13.066 9.002260045451482e-005
1.88 --undefined-- 10.254 6.512178303500147e-005
1.89 --undefined-- 4.709 3.4393003173996304e-005
1.90 --undefined-- -2.522 1.4960293252203788e-005
1.91 --undefined-- 1.762 2.449885472600022e-005
1.92 --undefined-- 9.767 6.156891502653652e-005
1.93 --undefined-- 13.579 9.549787912736156e-005
1.94 --undefined-- 14.431 0.00010533790544286482
1.95 --undefined-- 15.383 0.00011754452844107673
1.96 80.326 16.640 0.00013584118688748117
1.97 80.225 16.637 0.00013578708664308505
1.98 80.211 14.980 0.00011220805804306717
1.99 --undefined-- 11.513 7.52841049887396e-005
2.00 --undefined-- 6.874 4.4127614543409175e-005
2.01 --undefined-- 2.369 2.6270629866895946e-005
2.02 --undefined-- -1.063 1.769533609050753e-005
2.03 --undefined-- -3.663 1.3117842729851702e-005
2.04 --undefined-- -3.848 1.2841636973473502e-005
2.05 --undefined-- 0.839 2.2027740111117023e-005
2.06 --undefined-- 5.021 3.565240459001436e-005
2.07 --undefined-- 7.934 4.9854711090596895e-005
2.08 --undefined-- 9.216 5.778654171513819e-005
2.09 --undefined-- 11.640 7.638777030205412e-005
2.10 --undefined-- 23.244 0.00029055388568633784
2.11 --undefined-- 31.861 0.0007835618322996515
2.12 --undefined-- 36.630 0.001356908949901819
2.13 84.729 38.907 0.0017635227283746518
2.14 84.259 39.518 0.0018921251809510767
2.15 82.662 38.955 0.0017733508503114703
2.16 82.349 37.619 0.0015204991648182808
