Here are the results for Channel 1 (nasal): time - pitch(Hz) - Amplitude(dB) - RMSqIntensity(Pa)
0.01 --undefined-- --undefined-- --undefined--
0.02 --undefined-- --undefined-- --undefined--
0.03 --undefined-- --undefined-- --undefined--
0.04 --undefined-- --undefined-- --undefined--
0.05 --undefined-- -3.970 1.2662776426436043e-005
0.06 --undefined-- -3.574 1.3253028611273556e-005
0.07 --undefined-- 1.847 2.4740179851956594e-005
0.08 --undefined-- 5.320 3.690067417990408e-005
0.09 --undefined-- 5.480 3.758588831217595e-005
0.10 --undefined-- 2.427 2.6446875668821746e-005
0.11 --undefined-- -3.626 1.3174076668781703e-005
0.12 --undefined-- -9.205 6.930645262710978e-006
0.13 --undefined-- -9.367 6.802883334271043e-006
0.14 --undefined-- -7.634 8.304532049542004e-006
0.15 --undefined-- -5.944 1.0088184765840676e-005
0.16 --undefined-- -5.094 1.1126277624623279e-005
0.17 --undefined-- -5.623 1.0468579746546113e-005
0.18 --undefined-- -7.096 8.835459675414062e-006
0.19 --undefined-- -8.159 7.817437761123846e-006
0.20 --undefined-- -8.344 7.653148566415161e-006
0.21 --undefined-- -7.369 8.562332327042962e-006
0.22 --undefined-- -4.904 1.1371434094502408e-005
0.23 --undefined-- -1.141 1.7537943575488968e-005
0.24 --undefined-- 0.451 2.1066907713163282e-005
0.25 --undefined-- -0.678 1.84989995048768e-005
0.26 --undefined-- -1.087 1.7646659310901793e-005
0.27 --undefined-- 0.385 2.090577492443664e-005
0.28 --undefined-- 0.428 2.1011135337390104e-005
0.29 --undefined-- -0.463 1.89623205704168e-005
0.30 --undefined-- -0.046 1.9893738881044376e-005
0.31 --undefined-- 0.255 2.059636196979895e-005
0.32 --undefined-- -0.818 1.8202756253757723e-005
0.33 --undefined-- -1.709 1.6428631394243613e-005
0.34 --undefined-- -1.436 1.695260024136039e-005
0.35 --undefined-- -2.203 1.552011960625539e-005
0.36 --undefined-- -2.964 1.4217295847068694e-005
0.37 --undefined-- -2.028 1.5834574017767683e-005
0.38 --undefined-- -0.660 1.853714659738579e-005
0.39 --undefined-- 0.641 2.1532760564409917e-005
0.40 --undefined-- 0.961 2.2340307483438016e-005
0.41 --undefined-- 0.691 2.1657286366692013e-005
0.42 --undefined-- 0.060 2.0138343504466126e-005
0.43 --undefined-- -1.619 1.659896978468629e-005
0.44 --undefined-- -3.608 1.32020743057738e-005
0.45 --undefined-- -4.443 1.1991481993008569e-005
0.46 --undefined-- -1.551 1.6730025282472287e-005
0.47 --undefined-- 0.827 2.1998286810559994e-005
0.48 --undefined-- 0.058 2.0133685605789452e-005
0.49 --undefined-- -1.184 1.7452061626335083e-005
0.50 --undefined-- -0.378 1.9147826715206764e-005
0.51 --undefined-- -1.341 1.7138926884580868e-005
0.52 --undefined-- -3.442 1.345675834021309e-005
0.53 --undefined-- -2.441 1.5099817557870113e-005
0.54 --undefined-- -0.749 1.8347271482637168e-005
0.55 --undefined-- -1.290 1.724030937253793e-005
0.56 --undefined-- -3.429 1.347585093415789e-005
0.57 --undefined-- -1.379 1.7064106503652605e-005
0.58 275.980 2.227 2.584608190470979e-005
0.59 283.513 3.112 2.861800050850657e-005
0.60 --undefined-- 1.077 2.2640928879753053e-005
0.61 --undefined-- -2.807 1.4477142146765633e-005
0.62 --undefined-- -4.808 1.1498501431453277e-005
0.63 --undefined-- 1.692 2.4300302887046344e-005
0.64 231.305 11.970 7.934938148691845e-005
0.65 238.023 18.679 0.00017177383723916695
0.66 265.175 21.668 0.0002423374754005412
0.67 281.454 21.601 0.00024048522871977798
0.68 94.964 19.633 0.00019172515463744061
0.69 93.336 18.479 0.00016787400149363067
0.70 95.618 18.993 0.00017811651947961132
0.71 192.476 19.210 0.00018260840348065789
0.72 193.335 18.386 0.000166082893292416
0.73 194.852 17.353 0.0001474691998644732
0.74 193.945 16.992 0.00014146207473052862
0.75 196.929 15.105 0.00011383164463803717
0.76 194.621 9.904 6.254845476971733e-005
0.77 --undefined-- 0.972 2.236892061696833e-005
0.78 --undefined-- -5.149 1.1055545924449886e-005
0.79 --undefined-- 3.385 2.9532240473280392e-005
0.80 --undefined-- 12.111 8.064808823308569e-005
0.81 --undefined-- 17.349 0.0001474016082608161
0.82 206.546 19.556 0.0001900293998403089
0.83 200.905 19.882 0.00019730370626768492
0.84 198.571 19.228 0.00018299241714739227
0.85 195.086 18.202 0.00016260786822582692
0.86 189.262 17.533 0.00015054969575769938
0.87 206.409 16.150 0.0001283894101345882
0.88 210.916 12.603 8.534180904981489e-005
0.89 --undefined-- 9.225 5.784788810267362e-005
0.90 --undefined-- 7.874 4.951162158266702e-005
0.91 --undefined-- 4.378 3.310617598588437e-005
0.92 --undefined-- 1.362 2.3395771537330544e-005
0.93 253.932 9.714 6.119412165018877e-005
0.94 261.502 16.541 0.000134298311870735
0.95 182.703 19.509 0.00018901513734502598
0.96 189.086 19.506 0.00018893914866847155
0.97 191.213 18.145 0.00016154619889303132
0.98 189.908 16.527 0.00013408842736298523
0.99 184.245 14.075 0.000101101884227271
1.00 180.929 9.966 6.299823951723716e-005
1.01 --undefined-- 3.641 3.0413836286936333e-005
1.02 --undefined-- -3.707 1.3051480452166347e-005
1.03 --undefined-- -6.619 9.334428206633899e-006
1.04 --undefined-- -3.708 1.3050604873652832e-005
1.05 --undefined-- -0.281 1.9364132151237313e-005
1.06 --undefined-- 0.135 2.0313439605061748e-005
1.07 --undefined-- -2.081 1.5738264074844315e-005
1.08 --undefined-- -3.323 1.364227646224218e-005
1.09 --undefined-- -0.803 1.8233118225677806e-005
1.10 --undefined-- 1.440 2.3605727055168086e-005
1.11 --undefined-- 1.453 2.3641950455744676e-005
1.12 --undefined-- 0.852 2.2060989971190594e-005
1.13 --undefined-- 8.523 5.3352539419550145e-005
1.14 --undefined-- 15.346 0.00011703776127498382
1.15 189.930 18.452 0.0001673611235999226
1.16 191.163 19.055 0.000179373934032987
1.17 189.213 19.060 0.00017948420629736314
1.18 188.249 19.425 0.00018718798731329068
1.19 187.568 19.672 0.0001925804536291615
1.20 186.108 19.332 0.0001852019808741589
1.21 182.358 17.716 0.00015376346268985365
1.22 179.159 13.970 9.989575065133596e-005
1.23 --undefined-- 7.821 4.9215635881029203e-005
1.24 --undefined-- 0.695 2.1666781186494658e-005
1.25 --undefined-- -4.194 1.2340325839920807e-005
1.26 --undefined-- -7.439 8.493106859871425e-006
1.27 --undefined-- -9.054 7.052489590444845e-006
1.28 --undefined-- -7.238 8.69257097948962e-006
1.29 --undefined-- -4.386 1.2070396070960957e-005
1.30 --undefined-- -1.907 1.6058281345353862e-005
1.31 --undefined-- 1.517 2.381796734443499e-005
1.32 --undefined-- 6.117 4.044774576023603e-005
1.33 --undefined-- 11.736 7.723721760262149e-005
1.34 --undefined-- 14.888 0.00011102993901948607
1.35 179.251 14.976 0.00011216275231099291
1.36 178.423 12.674 8.604165414689045e-005
1.37 175.185 8.813 5.5169385227770324e-005
1.38 167.209 4.234 3.256490801929454e-005
1.39 --undefined-- -0.483 1.8919281965017923e-005
1.40 --undefined-- -5.595 1.050222554348096e-005
1.41 --undefined-- -8.964 7.125671992183259e-006
1.42 --undefined-- -7.737 8.206898117092366e-006
1.43 --undefined-- -4.739 1.1590141959672818e-005
1.44 --undefined-- -1.621 1.659531071585181e-005
1.45 --undefined-- 4.293 3.278549918915365e-005
1.46 --undefined-- 9.330 5.8550567217770976e-005
1.47 --undefined-- 11.355 7.392265849868176e-005
1.48 82.099 11.202 7.263185335364007e-005
1.49 82.053 10.489 6.690977844916585e-005
1.50 --undefined-- 10.282 6.533244676336201e-005
1.51 --undefined-- 10.256 6.513468288509155e-005
1.52 --undefined-- 10.301 6.547546323424089e-005
1.53 --undefined-- 10.387 6.612862589830245e-005
1.54 --undefined-- 10.248 6.507695507866282e-005
1.55 --undefined-- 9.945 6.284307380027257e-005
1.56 161.060 9.473 5.952379430160138e-005
1.57 158.551 7.485 4.734477162016047e-005
1.58 --undefined-- 4.016 3.1757521621400886e-005
1.59 --undefined-- 1.015 2.2478047724660816e-005
1.60 --undefined-- -1.258 1.7302709234002458e-005
1.61 --undefined-- -2.286 1.5372430874664433e-005
1.62 --undefined-- -3.023 1.4122103425567423e-005
1.63 --undefined-- -3.890 1.2779929568368903e-005
1.64 --undefined-- -4.981 1.1271742980628802e-005
1.65 --undefined-- -7.494 8.43977963177227e-006
1.66 --undefined-- -10.091 6.2589837613689985e-006
1.67 --undefined-- -10.173 6.199558834099948e-006
1.68 --undefined-- -10.059 6.281804316897375e-006
1.69 --undefined-- -10.525 5.953566915113589e-006
1.70 --undefined-- -10.470 5.99115210226903e-006
1.71 --undefined-- -10.577 5.918247745946318e-006
1.72 --undefined-- -11.052 5.602921225659544e-006
1.73 --undefined-- -10.903 5.7003597425626945e-006
1.74 --undefined-- -9.279 6.872306395146374e-006
1.75 --undefined-- -3.396 1.3528482183174834e-005
1.76 280.294 2.559 2.68522418144157e-005
1.77 275.028 4.662 3.420839227610076e-005
1.78 274.147 2.742 2.7424450220625298e-005
1.79 --undefined-- -0.913 1.800492232174667e-005
1.80 --undefined-- 6.963 4.4586632573367395e-005
1.81 --undefined-- 14.036 0.00010065077863649447
1.82 168.072 17.633 0.00015229431193654284
1.83 174.054 18.896 0.0001761274406890045
1.84 174.611 18.408 0.00016650395027010615
1.85 172.033 16.602 0.0001352523576983198
1.86 162.526 14.093 0.00010132165977347319
1.87 --undefined-- 9.883 6.240202030952642e-005
1.88 --undefined-- 2.588 2.6941976209800718e-005
1.89 --undefined-- -5.431 1.0701849786339913e-005
1.90 --undefined-- -5.481 1.064071454387678e-005
1.91 --undefined-- -2.734 1.45984204044807e-005
1.92 --undefined-- 3.160 2.877579674233123e-005
1.93 --undefined-- 9.914 6.261938637358632e-005
1.94 --undefined-- 13.941 9.956245249909372e-005
1.95 174.792 15.792 0.00012319856070050277
1.96 174.925 16.066 0.00012715307248906756
1.97 174.274 14.983 0.00011224403407315351
1.98 169.815 12.555 8.487729119062511e-005
1.99 171.334 8.619 5.3948323738529446e-005
2.00 --undefined-- 3.126 2.8663718451612733e-005
2.01 --undefined-- -2.065 1.5768124151556855e-005
2.02 --undefined-- -3.731 1.3016703733035679e-005
2.03 --undefined-- -4.514 1.1893530705401826e-005
2.04 --undefined-- -5.068 1.1159367995622274e-005
2.05 --undefined-- -4.778 1.153763913133427e-005
