Here are the results: time - pitch(Hz) - Amplitude(dB) - RMSqIntensity(Pa)
0.01 --undefined-- --undefined-- --undefined--
0.02 --undefined-- --undefined-- --undefined--
0.03 --undefined-- --undefined-- --undefined--
0.04 --undefined-- --undefined-- --undefined--
0.05 --undefined-- 35.082 0.0011353933998090278
0.06 --undefined-- 35.621 0.0012080274406563397
0.07 --undefined-- 35.769 0.001228865139513908
0.08 --undefined-- 33.932 0.000994596219877121
0.09 --undefined-- 38.554 0.0016931951483593057
0.10 --undefined-- 48.710 0.005451926537869242
0.11 --undefined-- 55.189 0.011494186353545927
0.12 178.882 58.373 0.016584503992662238
0.13 178.604 59.918 0.019812268205148535
0.14 178.515 61.544 0.023891612684268808
0.15 172.344 63.268 0.029137584469149075
0.16 169.365 64.232 0.032555376907933566
0.17 169.086 64.345 0.03298088229280316
0.18 168.745 63.906 0.03135698420545084
0.19 166.940 62.990 0.02821958414240485
0.20 163.092 61.587 0.024010252541811626
0.21 158.872 59.897 0.019763182423166846
0.22 159.094 58.211 0.016277062218202028
0.23 166.730 57.219 0.014520838490057772
0.24 168.663 57.525 0.015041197626845864
0.25 172.237 58.506 0.016838815683437827
0.26 169.474 59.624 0.01915373282366587
0.27 168.596 60.788 0.021898166516105617
0.28 170.032 61.699 0.024320675604520704
0.29 171.277 62.283 0.026012618986791015
0.30 170.514 62.757 0.027470285492716764
0.31 170.362 63.294 0.029223637598812285
0.32 170.589 63.664 0.030495713984318107
0.33 170.030 63.282 0.02918367176848216
0.34 167.284 61.787 0.024567730572144023
0.35 164.751 59.486 0.018851374321317258
0.36 164.688 56.665 0.013623908455078732
0.37 158.831 52.764 0.008694145860051258
0.38 148.720 47.381 0.004678224306017157
0.39 --undefined-- 42.615 0.0027026956152819523
0.40 --undefined-- 41.882 0.002483944213745466
0.41 --undefined-- 46.138 0.004054205500897659
0.42 --undefined-- 53.484 0.009445511802696805
0.43 250.751 59.429 0.018726873644492638
0.44 238.158 62.606 0.026998041950871906
0.45 230.800 63.614 0.030319562335896406
0.46 230.052 63.664 0.030496212875443456
0.47 232.217 63.642 0.030418709051556227
0.48 234.551 63.642 0.030417928995182513
0.49 236.786 63.352 0.029419361392338125
0.50 237.790 62.423 0.0264360464442713
0.51 236.316 60.656 0.02156777460359779
0.52 233.633 58.301 0.016447197103953873
0.53 234.556 56.875 0.013956546995138777
0.54 244.161 57.887 0.0156821030382986
0.55 254.208 59.991 0.01997972717979563
0.56 261.733 61.622 0.024105523728805246
0.57 266.179 62.204 0.025778194290632217
0.58 268.494 61.745 0.024450159371503556
0.59 267.150 60.334 0.020784603591586494
0.60 260.977 57.949 0.015793237828693425
0.61 248.133 55.209 0.011521319553222173
0.62 245.716 53.980 0.010000168033929838
0.63 --undefined-- 55.405 0.01178389554400712
0.64 --undefined-- 58.257 0.016363100421030636
0.65 --undefined-- 60.470 0.021110895227960728
0.66 --undefined-- 60.734 0.021764216752824524
0.67 --undefined-- 58.458 0.016746223022440956
0.68 --undefined-- 53.477 0.009437776362215725
0.69 --undefined-- 46.241 0.0041028586679639194
0.70 --undefined-- 42.572 0.002689389464089151
0.71 --undefined-- 46.781 0.004366132813581669
0.72 --undefined-- 52.841 0.008771382034663
0.73 219.472 58.479 0.01678768377046467
0.74 203.825 61.635 0.024143469967231743
0.75 187.980 62.992 0.02822629728439872
0.76 181.113 63.773 0.030878789400987632
0.77 178.290 63.967 0.03157703833938316
0.78 172.918 63.271 0.0291469415918373
0.79 166.263 62.182 0.025713004615275162
0.80 159.517 61.233 0.023050068699462124
0.81 155.566 60.595 0.021417269037617506
0.82 152.894 60.254 0.020592579895303074
0.83 150.311 59.917 0.01980922596237355
0.84 148.584 59.516 0.018916811370019534
0.85 148.361 59.193 0.018224759961744233
0.86 149.952 58.943 0.01770912517332795
0.87 151.959 58.573 0.016970477157742844
0.88 153.943 57.915 0.015731478757388295
0.89 153.516 56.709 0.013692527774190983
0.90 150.394 54.415 0.010514125925479508
0.91 145.067 50.603 0.0067788559878666005
0.92 144.528 45.267 0.003667439759173548
0.93 --undefined-- 39.637 0.0019182134492923642
0.94 --undefined-- 37.025 0.0014200212616258668
0.95 --undefined-- 35.901 0.0012476079237196303
0.96 --undefined-- 34.944 0.0011174970599413742
0.97 --undefined-- 35.691 0.001217849229577973
0.98 --undefined-- 38.646 0.0017112420585617398
0.99 --undefined-- 42.263 0.002595401834897329
1.00 --undefined-- 46.627 0.004288996583550698
1.01 --undefined-- 49.461 0.00594414106471213
1.02 --undefined-- 49.443 0.005931448605879148
1.03 --undefined-- 47.041 0.004498648859304265
1.04 --undefined-- 43.403 0.0029591677083271387
1.05 --undefined-- 39.335 0.0018526340686676468
1.06 --undefined-- 35.126 0.0011411755259800609
1.07 --undefined-- 34.442 0.0010546606747483121
1.08 --undefined-- 38.663 0.0017147334072875001
1.09 --undefined-- 41.047 0.002256101608462981
1.10 --undefined-- 40.928 0.00222556421167901
1.11 --undefined-- 41.593 0.0024026996780084353
1.12 --undefined-- 42.711 0.002732705899179851
1.13 --undefined-- 42.424 0.002643759530863942
1.14 --undefined-- 42.447 0.0026508400815541434
1.15 --undefined-- 42.205 0.0025780756342724267
1.16 --undefined-- 43.958 0.0031544438462708033
1.17 --undefined-- 49.483 0.0059587762164004235
1.18 --undefined-- 55.036 0.011293990061116543
1.19 --undefined-- 59.007 0.017839850129130773
1.20 --undefined-- 60.867 0.02209894857420131
1.21 --undefined-- 60.995 0.022426261272828825
1.22 --undefined-- 61.109 0.022722547473212236
1.23 --undefined-- 61.678 0.024262069860912585
1.24 --undefined-- 61.048 0.02256414857940395
1.25 --undefined-- 58.235 0.01632133286174221
1.26 --undefined-- 55.763 0.012279592533216295
1.27 263.390 60.300 0.020703215146452923
1.28 250.520 63.779 0.030899834035253218
1.29 239.218 64.789 0.03471286191835515
1.30 230.003 64.549 0.03376585009091576
1.31 225.829 63.928 0.03143441461806265
1.32 222.789 62.518 0.026725307890131077
1.33 218.568 59.310 0.018473428966082638
1.34 202.017 53.719 0.009704185293563499
1.35 201.344 47.205 0.004584297179218368
1.36 --undefined-- 43.951 0.003152074822636629
1.37 --undefined-- 43.887 0.003128900318055651
1.38 --undefined-- 48.588 0.005375874985681926
1.39 245.672 56.546 0.013438384735907274
1.40 243.912 62.091 0.025442230805543507
1.41 239.459 64.636 0.03410735841150626
1.42 234.729 64.633 0.034092534430389905
1.43 232.140 62.243 0.02589227143364209
1.44 233.961 57.035 0.014216565609890139
1.45 --undefined-- 48.361 0.0052371564552314955
1.46 --undefined-- 38.997 0.0017819508239617925
1.47 --undefined-- 40.553 0.002131512099314024
1.48 --undefined-- 48.958 0.005609596267534628
1.49 --undefined-- 54.469 0.010580301211223418
1.50 --undefined-- 56.441 0.013275766388649652
1.51 --undefined-- 55.430 0.011817921602193977
1.52 --undefined-- 53.318 0.009266369981315734
1.53 201.871 54.844 0.011046085038064122
1.54 196.379 57.614 0.015196314454860634
1.55 188.100 59.641 0.019189987678163496
1.56 186.296 61.280 0.023174880865816223
1.57 182.587 62.510 0.0267017937934556
1.58 176.813 63.235 0.029026398185273153
1.59 171.136 63.522 0.029999130463833654
1.60 165.770 63.519 0.02999031154980147
1.61 160.604 63.213 0.028950615025945918
1.62 157.234 62.650 0.0271338649338471
1.63 154.585 61.982 0.02512525462889897
1.64 151.621 61.180 0.02290894941379306
1.65 149.157 60.376 0.02088550412470299
1.66 147.174 59.723 0.019371719549123784
1.67 145.689 59.085 0.018000886074632818
1.68 145.591 58.347 0.016533740190661856
1.69 146.863 57.782 0.015492313141634774
1.70 148.712 57.916 0.015732925348455974
1.71 149.475 57.882 0.015672058418753344
1.72 147.781 56.378 0.013180870223298407
1.73 140.632 53.726 0.009712305403467564
1.74 --undefined-- 52.347 0.008287072387971162
1.75 --undefined-- 52.948 0.008880303921277992
1.76 --undefined-- 53.928 0.009941353289240838
1.77 162.297 54.251 0.01031745683086518
1.78 157.939 54.701 0.010866718015013528
1.79 155.586 55.750 0.0122613023451223
1.80 154.753 56.548 0.013440889325668755
1.81 153.461 56.552 0.013447242920513034
1.82 150.621 55.710 0.012204622304969104
1.83 143.592 54.938 0.01116633228948012
1.84 --undefined-- 56.457 0.013300880692253662
1.85 --undefined-- 59.196 0.018231512136176825
1.86 --undefined-- 60.957 0.022329666785491895
1.87 --undefined-- 61.270 0.023148090460036776
1.88 --undefined-- 61.011 0.022469751267375934
1.89 --undefined-- 61.103 0.02270869198661488
1.90 --undefined-- 61.078 0.022643583515772298
1.91 --undefined-- 60.550 0.02130639127012884
1.92 --undefined-- 60.494 0.02117059077897535
1.93 --undefined-- 61.492 0.023746983103299805
1.94 --undefined-- 62.001 0.025181030208885014
1.95 --undefined-- 60.672 0.021608671744798132
1.96 --undefined-- 56.881 0.013965608330887067
1.97 --undefined-- 50.379 0.006606901741510179
1.98 --undefined-- 46.720 0.004335545792498168
1.99 208.710 52.683 0.008613234308519681
2.00 190.037 56.869 0.013947078887192533
2.01 181.986 59.123 0.018079299308898535
2.02 180.648 60.380 0.02089447015311307
2.03 179.828 61.074 0.022633099781615745
2.04 179.002 61.489 0.02374034230004622
2.05 181.179 62.216 0.025812481595672867
2.06 178.075 63.340 0.029377051874923052
2.07 177.965 64.128 0.032167187888552086
2.08 177.660 64.437 0.03333405134246341
2.09 176.420 64.443 0.03335702083220819
2.10 174.962 64.125 0.03215578917702779
2.11 173.011 63.436 0.029706607945711148
2.12 169.819 62.362 0.026250010896380183
2.13 165.401 60.807 0.021947396023254906
2.14 160.239 58.731 0.017280903244848246
2.15 152.475 56.780 0.013805105259286118
2.16 149.166 55.877 0.012441421334400569
2.17 144.636 55.192 0.011498712476865408
2.18 139.787 54.290 0.010364208605175102
2.19 137.506 54.373 0.010463122738651598
2.20 139.006 55.694 0.012182235823870617
2.21 135.133 56.346 0.013132244773205336
2.22 132.884 56.007 0.012629652469994064
2.23 130.367 55.569 0.012008045310926085
2.24 129.545 55.286 0.01162321064396216
2.25 128.043 54.722 0.010892486869810215
2.26 127.759 53.740 0.009728554271656125
2.27 129.537 52.546 0.008478960398306782
2.28 130.249 51.554 0.007564029301003098
2.29 131.084 50.941 0.00704797727459174
2.30 130.427 50.267 0.006521997286161575
2.31 128.506 49.298 0.005833356391453291
2.32 --undefined-- 48.225 0.0051555647407837005
2.33 --undefined-- 47.296 0.004632797273989763
