Here	are	the	results:	time	-	pitch(Hz)	-	Amplitude(dB)	-	RMSqIntensity(Pa)
time	pitch(Hz)	Amplitude(dB)	RMSqIntensity(Pa)							
0.01	--undefined--	--undefined--	--undefined--							
0.02	--undefined--	--undefined--	--undefined--							
0.03	--undefined--	--undefined--	--undefined--							
0.04	--undefined--	--undefined--	--undefined--							
0.05	--undefined--	35.082	0.001135393							
0.06	--undefined--	35.621	0.001208027							
0.07	--undefined--	35.769	0.001228865							
0.08	--undefined--	33.932	0.000994596							
0.09	--undefined--	38.554	0.001693195							
0.1	--undefined--	48.71	0.005451927							
0.11	--undefined--	55.189	0.011494186							
0.12	180.202	58.373	0.016584504							
0.13	180.438	59.918	0.019812268							
0.14	177.06	61.544	0.023891613							
0.15	171.093	63.268	0.029137584							
0.16	169.492	64.232	0.032555377							
0.17	169.208	64.345	0.032980882							
0.18	168.906	63.906	0.031356984							
0.19	167.066	62.99	0.028219584							
0.2	163.316	61.587	0.024010253							
0.21	157.75	59.897	0.019763182							
0.22	160.576	58.211	0.016277062							
0.23	166.331	57.219	0.014520838							
0.24	168.173	57.525	0.015041198							
0.25	172.632	58.506	0.016838816							
0.26	169.367	59.624	0.019153733							
0.27	168.336	60.788	0.021898167							
0.28	169.991	61.699	0.024320676							
0.29	171.136	62.283	0.026012619							
0.3	170.368	62.757	0.027470285							
0.31	170.352	63.294	0.029223638							
0.32	170.629	63.664	0.030495714							
0.33	170.252	63.282	0.029183672							
0.34	167.951	61.787	0.024567731							
0.35	162.247	59.486	0.018851374							
0.36	164.128	56.665	0.013623908							
0.37	161.42	52.764	0.008694146							
0.38	--undefined--	47.381	0.004678224							
0.39	--undefined--	42.615	0.002702696							
0.4	--undefined--	41.882	0.002483944							
0.41	--undefined--	46.138	0.004054206							
0.42	--undefined--	53.484	0.009445512							
0.43	249.139	59.429	0.018726874							
0.44	236.793	62.606	0.026998042							
0.45	230.485	63.614	0.030319562							
0.46	230.116	63.664	0.030496213							
0.47	232.194	63.642	0.030418709							
0.48	234.652	63.642	0.030417929							
0.49	236.92	63.352	0.029419361							
0.5	237.884	62.423	0.026436046							
0.51	236.526	60.656	0.021567775							
0.52	234.103	58.301	0.016447197							
0.53	234.715	56.875	0.013956547							
0.54	244.402	57.887	0.015682103							
0.55	254.607	59.991	0.019979727							
0.56	262.314	61.622	0.024105524							
0.57	266.68	62.204	0.025778194							
0.58	268.555	61.745	0.024450159							
0.59	267.531	60.334	0.020784604							
0.6	261.468	57.949	0.015793238							
0.61	246.833	55.209	0.01152132							
0.62	241.055	53.98	0.010000168							
0.63	--undefined--	55.405	0.011783896							
0.64	--undefined--	58.257	0.0163631							
0.65	--undefined--	60.47	0.021110895							
0.66	--undefined--	60.734	0.021764217							
0.67	--undefined--	58.458	0.016746223							
0.68	--undefined--	53.477	0.009437776							
0.69	--undefined--	46.241	0.004102859							
0.7	--undefined--	42.572	0.002689389							
0.71	--undefined--	46.781	0.004366133							
0.72	--undefined--	52.841	0.008771382							
0.73	217.036	58.479	0.016787684							
0.74	202.785	61.635	0.02414347							
0.75	188.181	62.992	0.028226297							
0.76	180.957	63.773	0.030878789							
0.77	177.885	63.967	0.031577038							
0.78	173.352	63.271	0.029146942							
0.79	166.122	62.182	0.025713005							
0.8	158.772	61.233	0.023050069							
0.81	154.683	60.595	0.021417269							
0.82	152.361	60.254	0.02059258							
0.83	150.159	59.917	0.019809226							
0.84	148.564	59.516	0.018916811							
0.85	148.344	59.193	0.01822476							
0.86	149.807	58.943	0.017709125							
0.87	152.072	58.573	0.016970477							
0.88	154.105	57.915	0.015731479							
0.89	153.743	56.709	0.013692528							
0.9	151.318	54.415	0.010514126							
0.91	--undefined--	50.603	0.006778856							
0.92	--undefined--	45.267	0.00366744							
0.93	--undefined--	39.637	0.001918213							
0.94	--undefined--	37.025	0.001420021							
0.95	--undefined--	35.901	0.001247608							
0.96	--undefined--	34.944	0.001117497							
0.97	--undefined--	35.691	0.001217849							
0.98	--undefined--	38.646	0.001711242							
0.99	--undefined--	42.263	0.002595402							
1	--undefined--	46.627	0.004288997							
1.01	--undefined--	49.461	0.005944141							
1.02	--undefined--	49.443	0.005931449							
1.03	--undefined--	47.041	0.004498649							
1.04	--undefined--	43.403	0.002959168							
1.05	--undefined--	39.335	0.001852634							
1.06	--undefined--	35.126	0.001141176							
1.07	--undefined--	34.442	0.001054661							
1.08	--undefined--	38.663	0.001714733							
1.09	--undefined--	41.047	0.002256102							
1.1	--undefined--	40.928	0.002225564							
1.11	--undefined--	41.593	0.0024027							
1.12	--undefined--	42.711	0.002732706							
1.13	--undefined--	42.424	0.00264376							
1.14	--undefined--	42.447	0.00265084							
1.15	--undefined--	42.205	0.002578076							
1.16	--undefined--	43.958	0.003154444							
1.17	--undefined--	49.483	0.005958776							
1.18	--undefined--	55.036	0.01129399							
1.19	--undefined--	59.007	0.01783985							
1.2	--undefined--	60.867	0.022098949							
1.21	--undefined--	60.995	0.022426261							
1.22	--undefined--	61.109	0.022722547							
1.23	--undefined--	61.678	0.02426207							
1.24	--undefined--	61.048	0.022564149							
1.25	--undefined--	58.235	0.016321333							
1.26	--undefined--	55.763	0.012279593							
1.27	262.782	60.3	0.020703215							
1.28	249.276	63.779	0.030899834							
1.29	237.59	64.789	0.034712862							
1.3	229.64	64.549	0.03376585							
1.31	225.833	63.928	0.031434415							
1.32	222.838	62.518	0.026725308							
1.33	219.204	59.31	0.018473429							
1.34	203.021	53.719	0.009704185							
1.35	--undefined--	47.205	0.004584297							
1.36	--undefined--	43.951	0.003152075							
1.37	--undefined--	43.887	0.0031289							
1.38	--undefined--	48.588	0.005375875							
1.39	248.191	56.546	0.013438385							
1.4	243.05	62.091	0.025442231							
1.41	238.568	64.636	0.034107358							
1.42	234.344	64.633	0.034092534							
1.43	231.886	62.243	0.025892271							
1.44	232.173	57.035	0.014216566							
1.45	--undefined--	48.361	0.005237156							
1.46	--undefined--	38.997	0.001781951							
1.47	--undefined--	40.553	0.002131512							
1.48	--undefined--	48.958	0.005609596							
1.49	--undefined--	54.469	0.010580301							
1.5	--undefined--	56.441	0.013275766							
1.51	--undefined--	55.43	0.011817922							
1.52	--undefined--	53.318	0.00926637							
1.53	200.412	54.844	0.011046085							
1.54	195.36	57.614	0.015196314							
1.55	187.992	59.641	0.019189988							
1.56	186.331	61.28	0.023174881							
1.57	182.699	62.51	0.026701794							
1.58	176.873	63.235	0.029026398							
1.59	170.913	63.522	0.02999913							
1.6	165.522	63.519	0.029990312							
1.61	160.413	63.213	0.028950615							
1.62	156.925	62.65	0.027133865							
1.63	154.448	61.982	0.025125255							
1.64	151.481	61.18	0.022908949							
1.65	149.13	60.376	0.020885504							
1.66	147.242	59.723	0.01937172							
1.67	145.708	59.085	0.018000886							
1.68	145.495	58.347	0.01653374							
1.69	146.92	57.782	0.015492313							
1.7	148.747	57.916	0.015732925							
1.71	149.525	57.882	0.015672058							
1.72	147.893	56.378	0.01318087							
1.73	141.346	53.726	0.009712305							
1.74	--undefined--	52.347	0.008287072							
1.75	--undefined--	52.948	0.008880304							
1.76	--undefined--	53.928	0.009941353							
1.77	163.552	54.251	0.010317457							
1.78	157.565	54.701	0.010866718							
1.79	155.317	55.75	0.012261302							
1.8	154.617	56.548	0.013440889							
1.81	153.402	56.552	0.013447243							
1.82	150.627	55.71	0.012204622							
1.83	143.881	54.938	0.011166332							
1.84	139.419	56.457	0.013300881							
1.85	--undefined--	59.196	0.018231512							
1.86	--undefined--	60.957	0.022329667							
1.87	--undefined--	61.27	0.02314809							
1.88	--undefined--	61.011	0.022469751							
1.89	--undefined--	61.103	0.022708692							
1.9	--undefined--	61.078	0.022643584							
1.91	--undefined--	60.55	0.021306391							
1.92	--undefined--	60.494	0.021170591							
1.93	--undefined--	61.492	0.023746983							
1.94	--undefined--	62.001	0.02518103							
1.95	--undefined--	60.672	0.021608672							
1.96	--undefined--	56.881	0.013965608							
1.97	--undefined--	50.379	0.006606902							
1.98	--undefined--	46.72	0.004335546							
1.99	206.604	52.683	0.008613234							
2	190.384	56.869	0.013947079							
2.01	182.45	59.123	0.018079299							
2.02	180.724	60.38	0.02089447							
2.03	180.038	61.074	0.0226331							
2.04	179.967	61.489	0.023740342							
2.05	179.99	62.216	0.025812482							
2.06	177.614	63.34	0.029377052							
2.07	178.196	64.128	0.032167188							
2.08	177.692	64.437	0.033334051							
2.09	176.38	64.443	0.033357021							
2.1	174.91	64.125	0.032155789							
2.11	172.957	63.436	0.029706608							
2.12	169.907	62.362	0.026250011							
2.13	165.446	60.807	0.021947396							
2.14	159.242	58.731	0.017280903							
2.15	151.29	56.78	0.013805105							
2.16	149.031	55.877	0.012441421							
2.17	144.207	55.192	0.011498712							
2.18	139.434	54.29	0.010364209							
2.19	137.672	54.373	0.010463123							
2.2	138.722	55.694	0.012182236							
2.21	135.206	56.346	0.013132245							
2.22	132.966	56.007	0.012629652							
2.23	130.143	55.569	0.012008045							
2.24	129.419	55.286	0.011623211							
2.25	127.922	54.722	0.010892487							
2.26	127.947	53.74	0.009728554							
2.27	129.911	52.546	0.00847896							
2.28	130.384	51.554	0.007564029							
2.29	131.108	50.941	0.007047977							
2.3	130.441	50.267	0.006521997							
2.31	128.41	49.298	0.005833356							
2.32	124.451	48.225	0.005155565							
2.33	--undefined--	47.296	0.004632797							
2.34	--undefined--	45.947	0.003966311							
2.35	--undefined--	43.271	0.002914769							
2.36	--undefined--	39.894	0.00197582							
