Here	are	the	results	for	Channel	1	(nasal):	time	-	pitch(Hz)	-	Amplitude(dB)	-	RMSqIntensity(Pa)
0.27	--undefined--	40.855	0.002206933		0.27	--undefined--	44.249	0.003262016		0.596461207				
0.28	--undefined--	53.762	0.009753117		0.28	--undefined--	57.89	0.015685919		0.616608228				
0.29	--undefined--	63.594	0.03024859		0.29	255	67.416	0.046970645		0.608276493				
0.3	--undefined--	68.879	0.055587519		0.3	259.259	72.44	0.083754594		0.60107165				
0.31	--undefined--	72.064	0.080212612		0.31	248.074	75.102	0.113791047		0.586540726				
0.32	210.149	74.668	0.108246208		0.32	214.924	77.119	0.143540217		0.570087197				
0.33	209.266	76.015	0.126415434		0.33	213.72	77.962	0.158168564		0.555788678				
0.34	208.331	77.137	0.143838463		0.34	213.615	77.995	0.158770519		0.524672196				
0.35	205.853	78.523	0.168724626		0.35	206.528	77.544	0.150739842		0.471851669				
0.36	203.367	80.418	0.209855248		0.36	203.407	76.321	0.130940973		0.384220731				
0.37	203.342	83.171	0.288122111		0.37	203.032	75.118	0.114000798		0.283497397				
0.38	199.462	85.089	0.359316236		0.38	198.97	74.71	0.108773449		0.232377367				
0.39	196.749	85.653	0.383415467		0.39	196.364	74.61	0.107531174		0.21902823				
0.4	193.704	85.012	0.356143844		0.4	193.864	74.186	0.102409634		0.223331932				
0.41	189.997	82.906	0.279456925		0.41	190.166	72.621	0.085525859		0.234328475				
0.42	185.991	78.73	0.17280134		0.42	186.194	69.081	0.056898645		0.247708527				
0.43	--undefined--	71.62	0.076210835		0.43	--undefined--	62.799	0.0276052		0.265904974				
0.44	--undefined--	60.716	0.021718439		0.44	--undefined--	53.549	0.009516721		0.304679767				
0.45	--undefined--	47.203	0.004583315		0.45	--undefined--	44.404	0.003320825		0.420137446				
0.46	--undefined--	44.409	0.003322461		0.46	--undefined--	41.02	0.002249226		0.403688497				
0.47	--undefined--	51.721	0.007710363		0.47	--undefined--	41.76	0.002449327		0.241082835				
0.48	--undefined--	57.029	0.014206537		0.48	--undefined--	45.111	0.003602246		0.202273584				
0.49	--undefined--	60.995	0.022427506		0.49	--undefined--	49.02	0.005649858		0.201224658				
0.5	--undefined--	70.859	0.069823656		0.5	--undefined--	59.274	0.018396234		0.20852706				
0.51	243.136	79.244	0.183322443		0.51	243.519	67.838	0.049312198		0.211972722				
0.52	233.072	83.288	0.292037911		0.52	232.735	72.027	0.079871162		0.214759917				
0.53	224.546	83.266	0.29128223		0.53	220.687	72.283	0.082259432		0.220214879				
0.54	213.471	79.186	0.182118272		0.54	206.168	69.024	0.056522911		0.236853129				
0.55	--undefined--	70.699	0.068545726		0.55	197.691	63.318	0.029305476		0.2994902				
0.56	--undefined--	58.085	0.016042147		0.56	202.962	57.396	0.014819674		0.480194401				
0.57	--undefined--	47.881	0.004955407		0.57	--undefined--	51.117	0.007192176		0.592066439				
0.58	--undefined--	43.693	0.003059726		0.58	--undefined--	44.305	0.003282926		0.517595141				
0.59	--undefined--	40.722	0.002173244		0.59	--undefined--	39.698	0.00193161		0.470567183				
0.6	--undefined--	38.952	0.001772717		0.6	--undefined--	38.037	0.001595485		0.473690363				
0.61	--undefined--	41.723	0.00243882		0.61	--undefined--	37.969	0.001582957		0.393596406				
0.62	--undefined--	50.903	0.007017376		0.62	--undefined--	40.638	0.002152314		0.234720475				
0.63	--undefined--	56.604	0.013527605		0.63	--undefined--	45.324	0.003691558		0.214386605				
0.64	--undefined--	58.707	0.017232897		0.64	--undefined--	47.448	0.004714419		0.214806167				
0.65	--undefined--	66.647	0.042990818		0.65	--undefined--	54.924	0.01114866		0.205924772				
0.66	261.307	75.179	0.114808791		0.66	261.65	63.615	0.030324937		0.208944793				
0.67	249.368	79.871	0.197047366		0.67	250.698	68.484	0.053119436		0.212336071				
0.68	240.932	81.248	0.230900236		0.68	241.46	70.014	0.063347415		0.215286051				
0.69	235.528	79.894	0.197570662		0.69	234.888	68.909	0.055781263		0.220173037				
0.7	231.243	76.313	0.13082432		0.7	229.444	65.928	0.039575321		0.232250028				
0.71	228.802	70.981	0.070808643		0.71	225.6	61.724	0.024391495		0.256212815				
0.72	218.963	64.529	0.033687865		0.72	219.259	56.437	0.013270944		0.282608194				
0.73	--undefined--	57.972	0.015834581		0.73	--undefined--	49.623	0.006055855		0.276643891				
0.74	--undefined--	54.171	0.010223411		0.74	--undefined--	43.55	0.003009581		0.227430157				
0.75	--undefined--	52.223	0.00816886		0.75	--undefined--	42.407	0.002638569		0.244143972				
0.76	--undefined--	50.348	0.006583331		0.76	--undefined--	41.984	0.002513146		0.276276869				
