Here are the results for Channel 1 (nasal): time - pitch(Hz) - Amplitude(dB) - RMSqIntensity(Pa)
0.01 --undefined-- --undefined-- --undefined--
0.02 --undefined-- --undefined-- --undefined--
0.03 --undefined-- --undefined-- --undefined--
0.04 --undefined-- --undefined-- --undefined--
0.05 --undefined-- 32.825 0.0008755807348863717
0.06 --undefined-- 34.164 0.0010215298019884533
0.07 --undefined-- 33.679 0.0009660207197664151
0.08 --undefined-- 32.337 0.0008277274815122434
0.09 --undefined-- 32.354 0.0008293387132188686
0.10 --undefined-- 32.017 0.0007977308198810824
0.11 --undefined-- 31.897 0.0007868601893958286
0.12 --undefined-- 33.481 0.0009442396429546658
0.13 --undefined-- 34.752 0.0010930136584187246
0.14 --undefined-- 34.384 0.001047731362538606
0.15 --undefined-- 33.641 0.0009618029955782848
0.16 --undefined-- 33.645 0.0009622126426975938
0.17 --undefined-- 34.171 0.0010222698221801951
0.18 --undefined-- 34.083 0.0010119908744879668
0.19 --undefined-- 32.818 0.0008748462075879046
0.20 --undefined-- 31.450 0.0007473477909293888
0.21 --undefined-- 31.097 0.0007175951444902967
0.22 --undefined-- 31.422 0.000744917836124606
0.23 --undefined-- 32.598 0.0008529547386749271
0.24 --undefined-- 34.935 0.0011162338307345308
0.25 --undefined-- 40.887 0.002214963089013971
0.26 --undefined-- 48.271 0.005183024448964716
0.27 --undefined-- 53.239 0.00918254884252494
0.28 100.711 55.439 0.011829729447611013
0.29 102.078 56.163 0.012858010625485932
0.30 102.646 57.009 0.014173682965415147
0.31 102.986 58.606 0.017034838971404495
0.32 104.217 62.838 0.02773028414203408
0.33 104.771 67.187 0.045746376380599155
0.34 103.116 69.407 0.05907070836924022
0.35 103.076 70.204 0.06474853077374652
0.36 103.438 70.585 0.06765188194514989
0.37 103.721 70.767 0.06908470000973865
0.38 105.202 70.855 0.06978454459193867
0.39 106.484 71.039 0.07128122616873248
0.40 107.832 71.541 0.07552514166209767
0.41 110.376 72.315 0.08255984252862858
0.42 111.959 72.984 0.08917629910065336
0.43 113.486 73.170 0.09110346274692435
0.44 114.173 72.341 0.08281213955696813
0.45 113.854 69.763 0.061540959473305255
0.46 116.096 65.380 0.0371572809276835
0.47 120.176 62.199 0.02576068004946102
0.48 121.183 61.991 0.025151944990321782
0.49 122.428 62.613 0.027018536878606884
0.50 124.697 64.209 0.03246971473659705
0.51 130.614 67.519 0.047529505834247664
0.52 130.720 70.227 0.06492218604980708
0.53 129.188 71.029 0.07120256489179895
0.54 129.127 70.653 0.06818104875857774
0.55 130.246 70.257 0.06514835808853502
0.56 131.644 70.199 0.06471366314728497
0.57 132.189 70.223 0.06489367885846842
0.58 131.904 70.155 0.06438073916547998
0.59 131.293 69.948 0.06286752514202888
0.60 130.081 69.035 0.05659227791231792
0.61 128.619 66.601 0.0427641593715643
0.62 126.315 63.277 0.02916502621212871
0.63 127.488 61.853 0.02475711691985052
0.64 125.338 61.605 0.024060405314872593
0.65 123.237 61.323 0.02329121742305731
0.66 121.001 61.048 0.022565927952707045
0.67 118.671 60.988 0.022408882896559654
0.68 117.015 61.301 0.02323129392785598
0.69 115.767 63.006 0.028270978930048637
0.70 112.208 66.196 0.04081674602371062
0.71 109.885 68.638 0.05406810240697811
0.72 109.101 69.823 0.06197257492361027
0.73 108.122 70.243 0.0650427624091469
0.74 107.192 70.325 0.06566040062714226
0.75 106.998 70.316 0.06559169949368753
0.76 106.158 70.371 0.0660022857545242
0.77 105.352 70.494 0.06694861666681876
0.78 104.927 70.617 0.06790000699646602
0.79 104.934 70.696 0.06852198313611815
0.80 105.027 70.564 0.06748615579434114
0.81 105.029 70.139 0.0642658305860867
0.82 105.275 69.299 0.0583414053463343
0.83 105.042 67.741 0.048762651558210766
0.84 104.792 65.322 0.03690826608149058
0.85 105.331 62.314 0.026105902573999685
0.86 105.268 59.228 0.018299272026626966
0.87 104.848 55.874 0.012437395155655392
0.88 102.353 51.531 0.007543984541188068
0.89 --undefined-- 46.218 0.004092123731677033
0.90 --undefined-- 41.431 0.0023580847722915956
0.91 --undefined-- 39.620 0.0019143962148118132
0.92 --undefined-- 39.647 0.001920335364897657
0.93 --undefined-- 41.656 0.0024200177482360786
0.94 --undefined-- 47.738 0.0048742282005454765
0.95 --undefined-- 51.437 0.007462574021888866
0.96 --undefined-- 51.120 0.007195397903425344
0.97 --undefined-- 48.504 0.005324183428349913
0.98 --undefined-- 47.550 0.004770362263048995
0.99 --undefined-- 48.297 0.005198764464597997
1.00 --undefined-- 49.885 0.006241244770439112
1.01 --undefined-- 50.763 0.0069052324248420945
1.02 --undefined-- 50.851 0.006975643064828729
1.03 --undefined-- 53.388 0.009341283137880144
1.04 --undefined-- 59.377 0.018616251722211118
1.05 --undefined-- 63.569 0.030164284441523477
1.06 98.062 65.154 0.03620291141783679
1.07 97.078 64.210 0.03247194180343411
1.08 95.090 61.021 0.022493613394950745
1.09 96.149 58.025 0.015932883750735698
1.10 94.759 57.412 0.014846643650062236
1.11 93.337 57.305 0.01466489207607754
1.12 92.107 57.227 0.014533275125668203
1.13 91.422 57.387 0.014804579722968978
1.14 91.107 57.586 0.01514745466757108
1.15 91.320 57.651 0.01526004242740773
1.16 92.310 57.887 0.015681258885631526
1.17 93.719 58.435 0.016702632786112948
1.18 92.844 58.604 0.017030204767681276
1.19 93.371 58.542 0.016908925697482237
1.20 93.225 58.753 0.017324387091049064
1.21 93.041 58.925 0.017670993625524153
1.22 92.849 58.774 0.017367550495887073
1.23 93.193 58.587 0.016996843096661215
1.24 94.041 60.259 0.020605863069854465
1.25 97.188 64.722 0.03444382686710527
1.26 99.633 68.162 0.05118119117926028
1.27 100.055 69.868 0.06228928210131284
1.28 100.796 70.474 0.06679299695646974
1.29 101.505 70.435 0.06649606216978317
1.30 101.168 69.778 0.061648942320997116
1.31 100.530 67.745 0.048784769521893645
1.32 98.241 63.759 0.03083151044411891
1.33 104.076 59.551 0.01899253451865499
1.34 105.367 58.374 0.016585559198086484
1.35 106.355 58.404 0.016642634811400513
1.36 107.479 58.746 0.017311458245281748
1.37 108.789 60.707 0.021695436536276376
1.38 111.770 64.344 0.03297935861296381
1.39 111.529 66.931 0.04441802948279591
1.40 111.557 67.854 0.04940010841516997
1.41 111.551 67.389 0.04682632917919651
1.42 111.109 65.511 0.03772196364202281
1.43 109.566 62.245 0.025898249063897694
1.44 112.717 59.478 0.018832948276902958
1.45 112.389 58.974 0.017771077882432294
1.46 113.143 59.075 0.017979591881514243
1.47 113.433 59.157 0.01814952013466287
1.48 113.714 59.111 0.018055262432855202
1.49 113.848 59.042 0.017911950620845253
1.50 113.647 58.924 0.017670405402449435
1.51 112.274 58.374 0.016586488642684832
1.52 109.944 56.878 0.013960690539380599
1.53 106.771 54.211 0.010270003308717501
1.54 99.994 51.549 0.007559610826539166
1.55 --undefined-- 51.557 0.0075661924170003555
1.56 --undefined-- 51.763 0.0077476192924936325
1.57 --undefined-- 49.616 0.006050986199663616
1.58 --undefined-- 52.192 0.008139781325948397
1.59 --undefined-- 61.441 0.023609215627841244
1.60 --undefined-- 66.911 0.04431940030623146
1.61 111.427 69.420 0.059161570228206624
1.62 105.385 70.402 0.06624038877279455
1.63 103.722 70.692 0.06849203086597766
1.64 101.264 70.448 0.0665937278529022
1.65 99.607 69.692 0.061044805838839
1.66 98.064 68.458 0.052959577515424
1.67 96.981 67.120 0.04539492772267239
1.68 96.709 66.259 0.04111285161873012
1.69 97.095 65.783 0.03891900287706085
1.70 96.334 65.193 0.03636411949601537
1.71 95.777 64.447 0.03337144223237019
1.72 94.539 63.702 0.03062895614933845
1.73 93.579 62.916 0.027979641060094308
1.74 93.383 62.327 0.026145295336998255
1.75 92.609 61.901 0.024893309792458445
1.76 91.838 61.413 0.023533499085237643
1.77 91.506 61.204 0.02297413612596662
1.78 90.368 61.139 0.022802990802231745
1.79 90.157 60.993 0.022422240966063725
1.80 91.036 60.774 0.021864727713736758
1.81 90.391 60.281 0.020657973281746886
1.82 89.369 59.559 0.019009338184547968
1.83 87.963 58.861 0.017542532843900106
1.84 86.052 57.656 0.01527016522973232
1.85 84.414 55.337 0.011691400749519016
1.86 85.886 53.309 0.009257191692751793
1.87 85.287 52.531 0.00846381429164583
1.88 83.964 51.581 0.00758715129192903
1.89 83.196 50.082 0.006384315162183429
1.90 81.499 48.291 0.005194829472124736
1.91 80.610 46.479 0.004216797554942064
1.92 --undefined-- 44.764 0.0034610329087019086
1.93 --undefined-- 42.638 0.0027096639631765773
1.94 --undefined-- 39.571 0.001903689570168787
1.95 --undefined-- 36.299 0.0013060682098597247
1.96 --undefined-- 35.051 0.0011313459346220414
1.97 --undefined-- 34.861 0.0011067696497616623
1.98 --undefined-- 34.161 0.0010211575282199122
1.99 --undefined-- 33.554 0.0009521589589845355
2.00 --undefined-- 33.465 0.0009424721898865533
2.01 --undefined-- 33.248 0.0009192278239118651
2.02 --undefined-- 33.121 0.0009059323551702151
2.03 --undefined-- 33.592 0.0009563335487845586
2.04 --undefined-- 33.255 0.0009200078167321561
2.05 --undefined-- 31.576 0.0007582705011656791
2.06 --undefined-- 30.125 0.0006416223156956294
2.07 --undefined-- 29.663 0.0006083945615988479
2.08 --undefined-- 30.106 0.0006402194400300408
2.09 --undefined-- 30.735 0.0006883044587359343
2.10 --undefined-- 30.705 0.0006859039207533961
2.11 --undefined-- 31.611 0.0007613092627709999
2.12 --undefined-- 33.272 0.0009217352439873261
2.13 --undefined-- 33.911 0.0009921641251601284
2.14 --undefined-- 33.588 0.0009559793994556416
2.15 --undefined-- 32.535 0.0008468086445659207
2.16 --undefined-- 32.125 0.000807755401950643
2.17 --undefined-- 32.576 0.0008507659878774488
2.18 --undefined-- 32.462 0.00083975808854319
2.19 --undefined-- 31.919 0.0007888048482227592
2.20 --undefined-- 32.373 0.0008311114121009232
2.21 --undefined-- 33.996 0.0010019027566012713
2.22 --undefined-- 34.558 0.0010688992185649312
2.23 --undefined-- 33.068 0.000900414734733412
2.24 --undefined-- 31.443 0.0007467568217071313
2.25 --undefined-- 31.329 0.0007370069348194471
2.26 --undefined-- 32.863 0.0008794175891297774
2.27 --undefined-- 34.892 0.0011107979793851682
2.28 --undefined-- 34.831 0.0011029864389069167
2.29 --undefined-- 33.469 0.0009428838979138141
2.30 --undefined-- 32.614 0.0008545311761904039
2.31 --undefined-- 31.964 0.0007929540892836213
